species	channel	n	levels	interior	bracket	nstar	delta	spread	Zeff	limit	limprov	lit
Si I	nf 2[7/2] J=4	4–7	4	2	untested	4.0–6.9	+0.0462	0.0039	1	66,035.000	published	unverified
Si I	nf 2[9/2] J=4	4–7	4	2	untested	4.0–7.0	+0.0165	0.0023	1	66,035.000	published	unverified
Si I	nf 2[9/2] J=5	4–7	4	2	untested	4.0–7.0	+0.0181	0.0027	1	66,035.000	published	unverified
Si I	nd 1D* J=2	3–8	6	4	untested	2.4–7.9	+0.4032	0.1771	1	65,747.760	published	unverified
Si I	nd 1F* J=3	3–8†	5	3	untested	3.0–8.4	-0.1375	0.1513	1	65,747.760	published	unverified
Si I	nd 1P* J=1	3–8	6	4	untested	3.0–8.0	+0.0284	0.0044	1	65,747.760	published	unverified
Si I	nd 3F* J=2	3–8	6	4	untested	2.6–7.6	+0.3730	0.0333	1	65,747.760	published	unverified
Si I	nd 3F* J=3	3–8	6	4	untested	2.6–7.8	+0.3007	0.0615	1	65,747.760	published	unverified
Si I	nd 3F* J=4	3–8	6	4	untested	2.6–8.2	+0.1429	0.2129	1	65,747.760	published	unverified
Si I *	np (1/2,1/2) J=1	6–7	2	1	untested	4.5–5.5	+1.4808	0.0027	1	65,747.760	published	unverified
Si I *	np (1/2,3/2) J=1	6–7	2	1	untested	4.6–5.6	+1.4252	0.0076	1	65,747.760	published	unverified
Si I *	np (1/2,3/2) J=2	6–7	2	1	untested	4.6–5.6	+1.4210	0.0078	1	65,747.760	published	unverified
Si I	ns (1/2,1/2)* J=0	6–10	5	3	3/3	4.1–8.1	+1.8930	0.0038	1	65,747.760	published	unverified
Si I	ns (1/2,1/2)* J=1	6–10	5	3	3/3	4.1–8.1	+1.8758	0.0091	1	65,747.760	published	unverified
Si I	ns (1/2,1/2)* J=0	13–21	9	7	untested	11.1–19.1	+1.8873	0.0031	1	65,747.760	published	unverified
