species	channel	n	levels	interior	bracket	nstar	delta	spread	Zeff	limit	limprov	lit
Li III	nh 2H* J=9/2	6–9	4	2	untested	6.0–9.0	+0.0003	0.0001	3	987,662.290	derived	unverified
Li III	ni 2I J=11/2	7–9	3	1	untested	7.0–9.0	+0.0004	0.0001	3	987,662.290	derived	unverified
Li III	ni 2I J=13/2	7–9	3	1	untested	7.0–9.0	+0.0004	0.0001	3	987,662.290	derived	unverified
Li III	np 2P* J=1/2	2–10	9	7	untested	2.0–10.0	+0.0004	0.0002	3	987,662.290	derived	unverified
Li III	np 2P* J=3/2	2–10	9	7	untested	2.0–10.0	+0.0003	0.0002	3	987,662.290	derived	unverified
Li III	ns 2S J=1/2	1–9	9	7	untested	1.0–9.0	+0.0003	0.0002	3	987,662.290	derived	unverified
Ba III	5p5.(2P*<3/2>).nd 2[1/2]* J=0	5–7	3	1	untested	2.5–4.7	+2.3509	0.0972	3	289,100.000	published	unverified
Ba III	5p5.(2P*<3/2>).nd 2[1/2]* J=1	5–7	3	1	untested	2.5–4.8	+2.3360	0.0975	3	289,100.000	published	unverified
Ba III	5p5.(2P*<3/2>).nd 2[3/2]* J=1	5–7	3	1	untested	2.7–4.9	+2.1891	0.0829	3	289,100.000	published	unverified
Ba III	5p5.(2P*<3/2>).nd 2[3/2]* J=2	5–7	3	1	untested	2.6–4.8	+2.3061	0.0981	3	289,100.000	published	unverified
Ba III	5p5.(2P*<3/2>).nd 2[5/2]* J=2	5–7	3	1	untested	2.6–4.8	+2.2821	0.0849	3	289,100.000	published	unverified
Ba III	5p5.(2P*<3/2>).nd 2[5/2]* J=3	5–7	3	1	untested	2.6–4.8	+2.2601	0.0738	3	289,100.000	published	unverified
Ba III	5p5.(2P*<3/2>).nd 2[7/2]* J=3	5–7	3	1	untested	2.6–4.8	+2.3041	0.0846	3	289,100.000	published	unverified
Ba III	5p5.(2P*<3/2>).nd 2[7/2]* J=4	5–7	3	1	untested	2.6–4.8	+2.3113	0.0890	3	289,100.000	published	unverified
Ba III	5p5.(2P*<3/2>).ns 2[3/2]* J=1	6–8	3	1	untested	2.7–4.8	+3.2585	0.0242	3	289,100.000	published	unverified
Ba III	5p5.(2P*<3/2>).ns 2[3/2]* J=2	6–8	3	1	untested	2.7–4.7	+3.2795	0.0267	3	289,100.000	published	unverified
