Z	charge	l	term	sym	stored	cfg	at_l	at_term	parsed	below	cause
40	1	1	z 3I*	Zr	3	233	181	3	3	3	Z_match
40	1	1	t 3D*	Zr	3	233	181	3	3	3	Z_match
40	1	1	x 3H*	Zr	3	233	181	3	3	3	Z_match
40	1	1	v 3G*	Zr	3	233	181	3	3	3	Z_match
40	1	1	s 3F*	Zr	3	233	181	3	3	3	Z_match
40	1	0	e 3F	Zr	3	233	42	3	3	3	Z_match
40	1	1	s 3D*	Zr	3	233	181	3	3	3	Z_match
40	1	1	r 3F*	Zr	3	233	181	3	3	3	Z_match
40	1	1	u 3G*	Zr	3	233	181	3	3	3	Z_match
40	1	2	e 5H	Zr	4	233	10	5	4	4	Z_match
40	1	1	t 3P*	Zr	3	233	181	3	3	3	Z_match
40	1	0	f 5F	Zr	3	233	42	5	3	3	Z_match
40	1	2	e 5G	Zr	5	233	10	5	5	5	Z_match
40	1	1	t 3G*	Zr	3	233	181	0	0	0	D_term_string_mismatch
40	1	1	q 3D*	Zr	3	233	181	3	3	3	Z_match
40	1	1	q 3F*	Zr	3	233	181	3	3	3	Z_match
40	1	1	p 3D*	Zr	3	233	181	3	3	3	Z_match
40	1	1	f 5G	Zr	5	233	181	0	0	0	D_term_string_mismatch
40	1	1	o 3D*	Zr	3	233	181	0	0	0	D_term_string_mismatch
