Z	charge	l	mult	term	parent	language	n_lo	n_hi	members_stored	members_found	count_match	delta_stored	delta_median	delta_mean	delta_asym	spread	bracketed	asym_bracketed	delta_status	refusal
11	1	0	2	2P*	1P*	LS	4	15	12	12	yes	1.63961	1.63961	1.67041	1.74325	0.23160	0	no	usable	
11	1	2	4	4P*	3P*	LS	3	10	5	5	yes	0.21561	0.21561	0.21143	0.27284	0.15832	0	no	usable	
11	1	2	4	4F*	3P*	LS	3	9	8	8	yes	-0.04256	-0.04256	-6.25213	-38.92856	39.13219	0	no	usable	
11	1	2	4	4D*	3P*	LS	3	8	5	5	yes	0.12116	0.12116	-0.52286	-1.80353	2.00129	0	no	usable	
11	1	2	2	2P*	1P*	LS	3	20	18	18	yes	0.34747	0.34747	0.43480	0.82368	0.68170	0	no	usable	
11	1	0	4	4P*?	3P*	LS	6	9	3	3	yes	1.26176	1.26176	-0.36841	-3.65901	4.95102	0	no	usable	
11	1	2	4	4P*?	3P*	LS	6	12	3	3	yes	0.12220	0.12220	0.19487	0.37333	0.28423	0	no	usable	
11	1	0	2	2P*,4P*	3P*	LS	7	13	4	4	yes	-6.40190	-6.40190	-7.81070	-19.36335	20.28772	0	no	usable	
11	1	1	2	2[1]*	3S<1>	jK	4	16	13	13	yes	9.32216	9.32216	9.32342	15.32117	11.98973	0	no	usable	
11	1	1	0		1D<2>	LS	4	10	7	7	yes	6.31527	6.31527	6.31644	9.31349	5.99068	0	no	void — limit is not this parent's core	
11	1	1	0		1P<1>	LS	4	14	11	11	yes	8.31288	8.31288	8.31410	13.31164	9.99023	0	no	void — limit is not this parent's core	
11	1	0	2	2[1]*	3D*<1>	jK	4	16	13	13	yes	9.25797	9.25797	9.26192	15.25607	11.96763	0	no	void — limit is not this parent's core	
11	1	2	0		3F*<2>	LS	4	11	8	8	yes	6.76188	6.76188	6.76355	10.25965	6.98672	0	no	void — limit is not this parent's core	
82	1	1	0	(1/2,1/2)		jj	6	12	13	12	no	4.37696	4.35458	4.35227	4.40718	0.15996	0	no	usable	
82	1	1	0	(3/2,1/2)		jj	6	7	4	2	no	2.62823	0.36061	0.36061	0.75039	0.77955	0	no	usable	
82	1	1	0	(3/2,3/2)		jj	6	8	6	4	no	4.35373	4.33794	4.33159	4.33038	0.07345	0	no	usable	
82	1	0	0	(1/2,1/2)*		jj	7	17	18	18	yes	4.82896	4.82896	4.83719	4.81549	0.08349	0	no	usable	
82	1	1	0	(1/2,3/2)		jj	7	12	12	14	no	4.26949	4.26949	4.27336	4.30247	0.26777	0	no	usable	
82	1	2	2	2[5/2]*	2P*<1/2>	jK	6	14	17	17	yes	3.19730	3.19730	3.20175	3.19730	0.12559	0	no	usable	
82	1	2	2	2[3/2]*	2P*<1/2>	jK	6	20	22	22	yes	3.17641	3.17641	3.17592	3.16208	0.08354	0	no	usable	
82	1	0	0	(3/2,1/2)*		jj	7	9	4	4	yes	4.88142	4.88142	4.89057	4.86532	0.06878	0	no	usable	
82	1	3	2	2[5/2]	2P*<1/2>	jK	5	8	8	8	yes	1.04692	1.04692	1.05868	1.12508	0.09304	0	no	usable	
82	1	3	2	2[7/2]	2P*<1/2>	jK	5	11	14	14	yes	1.04014	1.04014	1.03916	1.04559	0.01546	0	no	usable	
82	1	4	2	2[7/2]*	2P*<1/2>	jK	5	10	6	6	yes	0.01073	0.01073	0.01034	0.01222	0.00448	0	no	usable	
82	1	2	2	2[5/2]*	2P*<3/2>	jK	6	8	4	4	yes	3.26694	3.26694	3.18032	2.85827	0.47084	0	no	usable	
82	1	2	2	2[3/2]*	2P*<3/2>	jK	6	8	3	3	yes	3.30311	3.30311	3.28436	3.30350	0.05702	0	no	usable	
88	1	1	3	3P*		LS	7	8	9	9	yes	4.84293	4.84293	4.42968	4.90926	1.73146	0	no	usable	
88	1	2	3	3D		LS	6	7	6	6	yes	3.89749	3.89749	3.90194	3.77942	0.30201	0	no	usable	
88	1	1	1	1P*		LS	7	52	42	42	yes	4.61288	4.61288	4.61198	4.62165	0.20364	0	no	usable	
88	1	1	3	3F*		LS	7	7	3	3	yes	4.03180	4.03180	4.00167	4.25234	0.53145	0	no	usable	
88	1	1	3	3D*		LS	7	7	3	3	yes	3.69836	3.69836	3.67335	3.74281	0.16393	0	no	usable	
88	1	3	3	3F*		LS	5	8	10	10	yes	1.14629	1.14629	1.14550	1.17226	0.05501	0	no	usable	
86	1	0	2	2[3/2]*	2P*<3/2>	jK	7	12	9	9	yes	5.04772	5.04772	5.05703	5.04576	0.13676	0	no	usable	
86	1	1	2	2[1/2]	2P*<3/2>	jK	7	11	9	9	yes	4.45545	4.45545	4.50763	4.38716	0.29622	0	no	usable	
86	1	1	2	2[5/2]	2P*<3/2>	jK	7	12	10	10	yes	4.54979	4.54979	4.55293	4.49089	0.16583	0	no	usable	
86	1	2	2	2[1/2]*	2P*<3/2>	jK	6	10	10	10	yes	3.51651	3.51651	3.51008	3.52500	0.10706	0	no	usable	
86	1	1	2	2[3/2]	2P*<3/2>	jK	7	12	11	11	yes	4.48326	4.48326	4.48833	4.45014	0.10510	0	no	usable	
86	1	2	2	2[7/2]*	2P*<3/2>	jK	6	12	13	13	yes	3.40150	3.40150	3.40862	3.41242	0.05761	0	no	usable	
86	1	2	2	2[3/2]*	2P*<3/2>	jK	6	11	8	8	yes	3.40491	3.40491	3.35172	3.40276	0.23732	0	no	usable	
86	1	2	2	2[5/2]*	2P*<3/2>	jK	7	11	10	10	yes	3.33075	3.33075	3.33200	3.35178	0.04067	0	no	usable	
86	1	3	2	2[3/2]	2P*<3/2>	jK	5	8	8	8	yes	1.06324	1.06324	1.06228	1.06969	0.01569	0	no	usable	
86	1	3	2	2[9/2]	2P*<3/2>	jK	5	10	6	6	yes	1.05089	1.05089	1.04936	1.05151	0.01229	0	no	usable	
86	1	3	2	2[5/2]	2P*<3/2>	jK	5	9	7	7	yes	1.03175	1.03175	1.03125	1.03971	0.01546	0	no	usable	
86	1	3	2	2[7/2]	2P*<3/2>	jK	5	7	3	3	yes	1.01832	1.01832	1.01795	1.02139	0.00725	0	no	usable	
50	1	1	3	3P		LS	5	9	12	9	no	3.32111	3.29865	3.10707	3.29865	1.57812	0	no	usable	
50	1	1	1	1D		LS	5	7	3	2	no	2.84765	2.21244	2.21244	1.57722	1.27043	0	no	usable	
50	1	1	1	1S		LS	5	7	3	2	no	2.65823	1.86774	1.86774	1.07725	1.58098	0	no	usable	
50	1	0	3	3P*		LS	6	19	21	21	yes	4.76150	4.76150	5.98059	14.18120	10.35357	0	no	usable	
50	1	0	1	1P*		LS	6	17	12	12	yes	3.80188	3.80188	3.80545	3.81859	0.09023	0	no	usable	
50	1	1	3	3D		LS	6	9	10	10	yes	3.33962	3.33962	3.17146	3.38512	1.62950	0	no	usable	
50	1	2	3	3F*		LS	5	12	16	16	yes	3.24536	3.24536	3.93437	7.50296	5.34322	0	no	usable	
50	1	2	3	3D*		LS	5	12	19	19	yes	2.38083	2.38083	3.20013	7.46716	5.63990	0	no	usable	
50	1	2	1	1D*		LS	5	12	4	4	yes	2.39562	2.39562	2.40313	2.38286	0.10440	0	no	usable	
50	1	2	3	3P*		LS	5	27	34	34	yes	2.51090	2.51090	2.51629	2.61058	2.01968	0	no	usable	
50	1	2	1	1F*		LS	5	7	3	3	yes	-0.11499	-0.11499	-2.91749	-10.20958	11.78168	0	no	usable	
50	1	2	1	1P*		LS	5	19	15	15	yes	2.05799	2.05799	2.05020	2.06162	0.16970	0	no	usable	
50	1	3	3	3G		LS	4	6	5	5	yes	0.03098	0.03098	0.19746	0.03512	0.85279	0	no	usable	
50	1	3	3	3F		LS	4	8	15	15	yes	0.04108	0.04108	-0.26701	0.04461	2.37169	0	no	usable	
50	1	3	1	1F		LS	4	7	4	4	yes	0.04405	0.04405	-0.52034	0.04565	2.26973	0	no	usable	
50	1	2	3	a 3F*		LS	8	12	4	4	yes	2.19145	2.19145	2.19431	2.15329	0.39326	0	no	usable	
50	1	3	3	3D		LS	4	4	3	3	yes	-2.49422	-2.49422	-2.43740	-2.32121	0.17557	0	no	usable	
50	1	2	3	a 3P*		LS	9	12	4	4	yes	2.11182	2.11182	2.19917	2.15416	0.64467	0	no	usable	
50	1	2	3	b 3P*		LS	9	19	11	11	yes	2.56415	2.56415	2.77926	2.67140	2.35424	0	no	usable	
50	1	2	3	b 3F*		LS	8	12	3	3	yes	2.16362	2.16362	2.15617	2.16362	0.02757	0	no	usable	
38	1	0	1	1S		LS	5	20	16	15	no	3.26812	3.26804	3.26444	3.26861	0.15354	0	no	usable	
38	1	1	3	3P*		LS	5	20	48	48	yes	8.39906	8.39906	8.69592	17.28894	14.48304	0	no	usable	
38	1	2	3	3D		LS	4	20	44	44	yes	1.98478	1.98478	2.05384	2.57063	0.77124	0	no	usable	
38	1	2	1	1D		LS	4	20	19	18	no	8.37367	8.86319	9.03397	17.28653	15.75302	0	no	usable	
38	1	1	1	1P*		LS	5	20	18	18	yes	8.87832	8.87832	9.16101	17.28827	14.70699	0	no	usable	
38	1	0	3	3S		LS	6	20	15	15	yes	3.37505	3.37505	3.38406	3.37184	0.07947	0	no	usable	
38	1	1	3	3F*		LS	5	5	3	3	yes	2.01823	2.01823	2.01744	2.05648	0.07888	0	no	usable	
38	1	1	3	3P		LS	5	5	3	0	no									outer_occupancy_gt_1
38	1	1	3	3D*		LS	5	6	6	6	yes	2.85559	2.85559	2.84938	2.85268	0.05591	0	no	usable	
38	1	3	3	3F*		LS	4	20	50	50	yes	0.10967	0.10967	0.10822	0.11929	0.02953	0	no	usable	
38	1	3	1	1F*		LS	4	20	17	17	yes	0.07684	0.07684	0.05801	0.08591	0.22893	0	no	usable	
38	1	2	3	3P		LS	4	5	5	2	no	1.37802	1.50630	1.50630	1.51752	0.02242	0	no	usable	
38	1	2	3	3F		LS	5	5	3	3	yes	1.57190	1.57190	1.57240	1.59260	0.03991	0	no	usable	
38	1	3	2	2[3/2]*	2D<3/2>	jK	4	10	4	4	yes	0.22550	0.22550	0.22390	0.13493	0.23363	0	no	usable	
38	1	3	2	2[3/2]*	2D<5/2>	jK	4	10	4	4	yes	0.13677	0.13677	0.12632	0.04464	0.14243	0	no	usable	
38	1	2	0	(3/2,3/2)		jj	6	10	15	15	yes	1.58691	1.58691	1.66805	1.79969	0.31413	0	no	usable	
38	1	2	0	(3/2,5/2)		jj	6	10	9	9	yes	1.77250	1.77250	1.77260	1.88624	0.21215	0	no	usable	
38	1	2	0	(5/2,5/2)		jj	6	10	16	16	yes	1.28129	1.28129	1.23803	0.98641	1.17818	0	no	usable	
38	1	1	2	2[3/2]*	2D<3/2>	jK	7	10	3	3	yes	2.64452	2.64452	2.69775	2.64452	0.17881	0	no	usable	
38	1	2	0	(5/2,3/2)		jj	6	10	10	10	yes	1.36044	1.36044	1.31131	1.14843	0.62220	0	no	usable	
38	1	1	2	2[3/2]*	2D<5/2>	jK	7	10	3	3	yes	2.64581	2.64581	2.63374	2.69289	0.13039	0	no	usable	
38	1	0	0	(3/2,1/2)		jj	8	11	4	4	yes	3.25459	3.25459	3.03077	2.33155	0.95079	0	no	usable	
38	1	0	0	(5/2,1/2)		jj	8	11	3	3	yes	3.14923	3.14923	2.97278	2.60827	0.55257	0	no	usable	
38	1	3	0	(3/2,5/2)*		jj	5	7	6	6	yes	0.17610	0.17610	0.19243	0.32998	0.20654	0	no	usable	
38	1	3	0	(3/2,7/2)*		jj	5	7	3	3	yes	0.07319	0.07319	0.07329	0.07635	0.00603	0	no	usable	
38	1	4	2	2[5/2]	2D<3/2>	jK	5	9	4	4	yes	0.03587	0.03587	0.03445	0.04587	0.02571	0	no	usable	
38	1	3	0	(5/2,5/2)*		jj	5	7	6	6	yes	-0.04892	-0.04892	-0.07347	-0.06085	0.20957	0	no	usable	
38	1	3	0	(5/2,7/2)*		jj	5	7	6	6	yes	-0.14365	-0.14365	-0.16839	-0.28841	0.28697	0	no	usable	
38	1	4	2	2[5/2]	2D<5/2>	jK	5	10	6	6	yes	0.03533	0.03533	0.03450	0.04419	0.02321	0	no	usable	
38	1	4	2	2[3/2]	2D<5/2>	jK	5	10	7	7	yes	0.02844	0.02844	0.02950	0.04239	0.02733	0	no	usable	
22	1	0	3	a 3F		LS	4	4	3	0	no									outer_occupancy_gt_1
22	1	0	5	a 5F	4F	LS	4	4	5	5	yes	2.49443	2.49443	2.49413	2.49605	0.00445	0	no	usable	
22	1	0	3	a 3P		LS	4	4	3	0	no									outer_occupancy_gt_1
22	1	0	3	b 3F	4F	LS	4	4	3	3	yes	2.41048	2.41048	2.41030	2.41245	0.00449	0	no	usable	
22	1	0	5	a 5P	4P	LS	4	4	3	3	yes	2.36488	2.36488	2.36468	2.36581	0.00247	0	no	void — limit is not this parent's core	
22	1	0	3	a 3G	2G	LS	4	4	3	3	yes	2.34193	2.34193	2.34183	2.34294	0.00233	0	no	void — limit is not this parent's core	
22	1	1	5	z 5G*	3P*	LS	4	4	5	0	no									no_outer_electron
22	1	1	5	z 5F*	3P*	LS	4	4	5	0	no									no_outer_electron
22	1	0	3	a 3D	2D2	LS	4	4	3	3	yes	2.29274	2.29274	2.29227	2.29397	0.00387	0	no	void — limit is not this parent's core	
22	1	0	3	b 3P	2P	LS	4	4	3	3	yes	2.27810	2.27810	2.27796	2.27963	0.00349	0	no	void — limit is not this parent's core	
22	1	0	3	a 3H	2H	LS	4	4	3	3	yes	2.27624	2.27624	2.27664	2.27866	0.00362	0	no	void — limit is not this parent's core	
22	1	1	5	z 5D*	3P*	LS	4	4	5	0	no									no_outer_electron
22	1	0	3	c 3P	4P	LS	4	4	3	3	yes	2.26004	2.26004	2.25941	2.26022	0.00224	0	no	void — limit is not this parent's core	
22	1	1	3	z 3F*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	3	z 3D*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	3	z 3G*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	0	3	3F	2F	LS	4	5	6	6	yes	2.12354	2.12354	2.12994	2.18804	0.10125	0	no	void — limit is not this parent's core	
22	1	1	3	y 3F*	1P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	3	y 3D*	4F	LS	4	4	3	3	yes	2.07566	2.07566	2.07474	2.07958	0.01060	0	no	usable	
22	1	1	3	3P*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	5	5D*	3P*	LS	4	4	5	0	no									no_outer_electron
22	1	1	5	y 5G*	4F	LS	4	4	5	5	yes	2.03483	2.03483	2.03403	2.04044	0.01443	0	no	usable	
22	1	1	3	x 3F*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	3	x 3D*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	3	y 3G*	1P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	5	z 5P*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	5	y 5F*	4F	LS	4	4	5	5	yes	1.96004	1.96004	1.95919	1.96414	0.01162	0	no	usable	
22	1	2	5	a 5D		LS	3	3	5	0	no									outer_occupancy_gt_1
22	1	1	3	w 3D*	1P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	5	x 5D*	4F	LS	4	4	5	5	yes	1.91179	1.91179	1.91094	1.91502	0.00962	0	no	usable	
22	1	1	3	x 3G*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	3	v 3D*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	3	w 3G*	4F	LS	4	4	3	3	yes	1.84288	1.84288	1.84250	1.84815	0.01167	0	no	usable	
22	1	1	3	y 3P*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	3	z 3H*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	0	3	3D	2D1	LS	4	4	3	3	yes	1.79317	1.79317	1.79330	1.79441	0.00210	0	no	void — limit is not this parent's core	
22	1	1	3	x 3P*	4P	LS	4	4	3	3	yes	1.76570	1.76570	1.76539	1.76597	0.00149	0	no	void — limit is not this parent's core	
22	1	1	3	w 3F*	4F	LS	4	4	3	3	yes	1.73511	1.73511	1.73518	1.73640	0.00238	0	no	usable	
22	1	1	3	v 3F*	3P*	LS	4	4	3	0	no									no_outer_electron
22	1	2	3	3P2		LS	3	3	3	0	no									outer_occupancy_gt_1
22	1	2	3	3F2		LS	3	3	3	0	no									outer_occupancy_gt_1
22	1	2	3	3H		LS	3	3	3	3	yes	0.63818	1.06101	1.06056	1.07859	0.03652	0	no	usable	
22	1	1	3	y 3H*	2G	LS	4	4	3	3	yes	1.62855	1.62855	1.62812	1.63494	0.01406	0	no	void — limit is not this parent's core	
22	1	1	5	w 5D*	4P	LS	4	4	5	5	yes	1.62749	1.62749	1.62585	1.63196	0.01552	0	no	void — limit is not this parent's core	
22	1	0	5	e 5F	4F	LS	5	5	5	5	yes	2.59523	2.59523	2.59332	2.60390	0.02497	0	no	usable	
22	1	2	3	b 3G		LS	3	3	3	0	no									outer_occupancy_gt_1
22	1	1	5	y 5P*	4P	LS	4	4	3	3	yes	1.57961	1.57961	1.57893	1.58234	0.00751	0	no	void — limit is not this parent's core	
22	1	1	3	w 3P*	2D2	LS	4	4	3	3	yes	1.52398	1.52398	1.52234	1.52967	0.01630	0	no	void — limit is not this parent's core	
22	1	0	3	e 3F	4F	LS	5	5	3	3	yes	2.48959	2.48959	2.48850	2.49828	0.02065	0	no	usable	
22	1	1	3	v 3G*	2G	LS	4	4	3	3	yes	1.49262	1.49262	1.49238	1.49712	0.00972	0	no	void — limit is not this parent's core	
22	1	1	3	u 3F*	2D2	LS	4	4	3	3	yes	1.48352	1.48352	1.48303	1.48998	0.01437	0	no	void — limit is not this parent's core	
22	1	1	3	u 3D*	1P*	LS	4	4	3	0	no									no_outer_electron
22	1	1	3	t 3F*	2G	LS	4	4	3	3	yes	1.42331	1.42331	1.42241	1.43053	0.01713	0	no	void — limit is not this parent's core	
22	1	2	3	3D		LS	3	3	3	3	yes	0.42857	1.01337	1.01247	1.02733	0.03062	0	no	usable	
22	1	1	3	z 3I*	2H	LS	4	4	3	3	yes	1.41355	1.41355	1.41313	1.42110	0.01634	0	no	void — limit is not this parent's core	
22	1	1	3	t 3D*	2P	LS	4	4	3	3	yes	1.41110	1.41110	1.41059	1.41471	0.00877	0	no	void — limit is not this parent's core	
22	1	0	5	f 5F	4F	LS	5	5	5	5	yes	2.36944	2.36944	2.36749	2.37829	0.02547	0	no	usable	
22	1	1	3	x 3H*	2H	LS	4	4	3	3	yes	1.37459	1.37459	1.37431	1.37756	0.00679	0	no	void — limit is not this parent's core	
22	1	0	3	f 3F	4F	LS	5	5	3	3	yes	2.33332	2.33332	2.33239	2.34313	0.02241	0	no	usable	
22	1	1	3	s 3D*	2D2	LS	4	4	3	3	yes	1.32943	1.32943	1.32926	1.33150	0.00463	0	no	void — limit is not this parent's core	
22	1	1	3	v 3P*		LS	4	4	3	3	yes	1.26666	1.26666	1.26456	1.26805	0.00910	0	no	usable	
22	1	1	3	r 3D*	4P	LS	4	4	3	3	yes	1.23965	1.23965	1.23769	1.25056	0.02770	0	no	void — limit is not this parent's core	
22	1	1	3	3G*	2H	LS	4	4	3	3	yes	1.18183	1.18183	1.18178	1.19050	0.01749	0	no	void — limit is not this parent's core	
22	1	1	3	s 3F*		LS	4	4	3	3	yes	1.16098	1.16098	1.15928	1.17340	0.02995	0	no	usable	
22	1	1	5	5G*	4F	LS	5	5	10	10	yes	1.98471	1.98471	1.98714	2.13652	0.30470	0	no	usable	
22	1	2	5	e 5G	4F	LS	4	4	5	5	yes	1.12256	1.12256	1.11989	1.13383	0.03326	0	no	usable	
22	1	2	5	e 5H	4F	LS	4	4	5	5	yes	1.10069	1.10069	1.10063	1.12208	0.04243	0	no	usable	
22	1	1	5	5F*	4F	LS	5	5	10	10	yes	1.95144	1.95144	1.95415	2.11875	0.33700	0	no	usable	
22	1	2	3	3G	4F	LS	4	4	3	3	yes	1.10541	1.10541	1.10211	1.11723	0.03353	0	no	usable	
22	1	2	5	e 5D	4F	LS	4	4	5	5	yes	1.10728	1.10728	1.10330	1.11684	0.03483	0	no	usable	
22	1	2	3	g 3F	4F	LS	4	4	3	3	yes	1.10396	1.10396	1.10383	1.11678	0.02603	0	no	usable	
22	1	1	3	u 3P*	2P	LS	4	4	3	3	yes	1.10889	1.10889	1.10888	1.11058	0.00339	0	no	void — limit is not this parent's core	
22	1	1	3	q 3D*		LS	4	4	3	3	yes	1.07950	1.07950	1.07780	1.08633	0.01877	0	no	usable	
22	1	1	5	5D*	4F	LS	5	5	10	10	yes	1.92652	1.92652	1.92994	2.08564	0.31925	0	no	usable	
22	1	2	3	3H	4F	LS	4	4	3	3	yes	1.06101	1.06101	1.06056	1.07859	0.03652	0	no	usable	
22	1	2	5	e 5P	4F	LS	4	4	3	3	yes	1.01896	1.01896	1.01799	1.03245	0.02989	0	no	usable	
22	1	2	3	3D	4F	LS	4	4	3	3	yes	1.01337	1.01337	1.01247	1.02733	0.03062	0	no	usable	
22	1	2	3	3F1		LS	3	3	3	0	no									outer_occupancy_gt_1
22	1	2	5	g 5F	4F	LS	4	4	5	5	yes	0.96640	0.96640	0.96417	0.98083	0.03783	0	no	usable	
22	1	1	3	r 3F*	4F	LS	5	5	3	3	yes	1.90949	1.90949	1.90732	1.92495	0.03740	0	no	usable	
22	1	2	5	5G	4F	LS	4	4	5	5	yes	0.89381	0.89381	0.89091	0.90831	0.04064	0	no	usable	
22	1	2	5	f 5H	4F	LS	4	4	5	5	yes	0.85591	0.85591	0.85453	0.87386	0.04130	0	no	usable	
22	1	2	5	5F	4F	LS	4	5	10	10	yes	0.86160	0.86160	0.86798	0.92689	0.10013	0	no	usable	
22	1	1	3	o 3D*	4F	LS	5	5	3	3	yes	1.84048	1.84048	1.83798	1.85532	0.03719	0	no	usable	
22	1	1	3	3G*	4F	LS	5	5	6	6	yes	1.74806	1.74806	1.74793	1.82952	0.16545	0	no	usable	
22	1	1	3	3F*	4F	LS	5	5	3	3	yes	1.71185	1.71185	1.71016	1.72606	0.03350	0	no	usable	
22	1	1	3	n 3D*	4F	LS	5	5	3	3	yes	1.68877	1.68877	1.68616	1.70477	0.03983	0	no	usable	
22	1	1	3	3P*	2P	LS	4	4	3	3	yes	0.68437	0.68437	0.68224	0.69259	0.02284	0	no	void — limit is not this parent's core	
22	1	0	3	3D	2D	LS	5	5	3	3	yes	1.68324	1.68324	1.68318	1.68392	0.00152	0	no	void — limit is not this parent's core	
22	1	2	3	3G	2F	LS	4	4	3	3	yes	0.61440	0.61440	0.61215	0.63112	0.04019	0	no	void — limit is not this parent's core	
22	1	2	3	f 3H	2F	LS	4	4	3	3	yes	0.55381	0.55381	0.55259	0.57426	0.04456	0	no	void — limit is not this parent's core	
22	1	0	5	h 5F	4F	LS	6	6	5	5	yes	2.54244	2.54244	2.53571	2.56641	0.07490	0	no	usable	
22	1	2	3	3F	2F	LS	4	4	3	3	yes	0.55284	0.55284	0.55074	0.56407	0.02877	0	no	void — limit is not this parent's core	
22	1	1	3	3G*	2F	LS	4	5	6	6	yes	0.58316	0.58316	0.59662	0.90068	0.59277	0	no	void — limit is not this parent's core	
22	1	1	5	g 5G		LS	4	4	5	0	no									outer_occupancy_gt_1
22	1	1	3	p 3F*	2F	LS	4	4	3	3	yes	0.24691	0.24691	0.23961	0.26944	0.06696	0	no	void — limit is not this parent's core	
22	1	2	5	g 5H	4F	LS	5	5	5	5	yes	1.06254	1.06254	1.05375	1.10470	0.11898	0	no	usable	
22	1	2	5	h 5G	4F	LS	5	5	5	5	yes	1.05593	1.05593	1.05053	1.09656	0.10223	0	no	usable	
22	1	3	2	2[7/2]*	4F<3/2>	jK	4	4	4	4	yes	-0.10613	-0.10613	-0.10610	0.06154	0.33522	0	no	usable	
22	1	3	2	2[9/2]*	4F<3/2>	jK	4	4	4	4	yes	-0.10477	-0.10477	-0.10450	0.05872	0.32589	0	no	usable	
22	1	3	2	2[5/2]*	4F<3/2>	jK	4	4	3	3	yes	0.05803	0.05803	-0.05133	0.05808	0.32818	0	no	usable	
22	1	1	5	5F		LS	4	4	5	0	no									outer_occupancy_gt_1
22	1	3	2	2[5/2]*	4F<5/2>	jK	4	4	4	4	yes	-0.13336	-0.13336	-0.13295	0.03352	0.33214	0	no	usable	
22	1	3	2	2[9/2]*	4F<5/2>	jK	4	4	4	4	yes	-0.13319	-0.13319	-0.13325	0.03339	0.33342	0	no	usable	
22	1	3	2	2[7/2]*	4F<5/2>	jK	4	4	4	4	yes	-0.13143	-0.13143	-0.13223	0.03291	0.33187	0	no	usable	
22	1	3	2	2[11/2]*	4F<5/2>	jK	4	4	3	3	yes	0.03155	0.03155	-0.07784	0.03196	0.32900	0	no	usable	
22	1	3	2	2[3/2]*	4F<5/2>	jK	4	4	3	3	yes	0.03004	0.03004	-0.07838	0.03079	0.32677	0	no	usable	
22	1	3	2	2[9/2]*	4F<7/2>	jK	4	4	4	4	yes	-0.17198	-0.17198	-0.17152	-0.00330	0.33551	0	no	usable	
22	1	3	2	2[11/2]*	4F<7/2>	jK	4	4	4	4	yes	-0.17134	-0.17134	-0.17133	-0.00360	0.33544	0	no	usable	
22	1	3	2	2[7/2]*	4F<7/2>	jK	4	4	4	4	yes	-0.17161	-0.17161	-0.17160	-0.00505	0.33307	0	no	usable	
22	1	3	2	2[13/2]*	4F<7/2>	jK	4	4	3	3	yes	-0.00788	-0.00788	-0.11586	-0.00566	0.32838	0	no	usable	
22	1	3	2	2[5/2]*	4F<7/2>	jK	4	4	3	3	yes	-0.00789	-0.00789	-0.11736	-0.00762	0.32896	0	no	usable	
22	1	3	2	2[13/2]*	4F<9/2>	jK	4	4	4	4	yes	-0.22056	-0.22056	-0.22001	-0.05235	0.33424	0	no	usable	
22	1	3	2	2[11/2]*	4F<9/2>	jK	4	4	4	4	yes	-0.22246	-0.22246	-0.22182	-0.05274	0.33687	0	no	usable	
22	1	3	2	2[9/2]*	4F<9/2>	jK	4	4	4	4	yes	-0.22105	-0.22105	-0.22077	-0.05470	0.33158	0	no	usable	
22	1	3	2	2[15/2]*	4F<9/2>	jK	4	4	4	4	yes	-0.21788	-0.21788	-0.21866	-0.05570	0.32749	0	no	usable	
22	1	3	2	2[7/2]*	4F<9/2>	jK	4	4	4	4	yes	-0.22052	-0.22052	-0.22031	-0.05771	0.32478	0	no	usable	
22	1	1	3	3F*	2F	LS	5	5	3	3	yes	0.87298	0.87298	0.87497	0.92609	0.10026	0	no	void — limit is not this parent's core	
22	1	1	3	e 3D		LS	4	4	3	0	no									outer_occupancy_gt_1
22	1	1	5	h 5D		LS	4	4	5	0	no									outer_occupancy_gt_1
22	1	1	3	3D*	2F	LS	5	5	3	3	yes	0.71375	0.71375	0.70991	0.72060	0.02522	0	no	void — limit is not this parent's core	
81	1	1	2	2P*		LS	6	16	18	18	yes	4.22722	4.22722	4.24605	4.34005	0.34257	0	no	usable	
81	1	0	2	2S		LS	7	20	14	14	yes	4.75066	4.75066	4.75615	4.72732	0.07830	0	no	usable	
81	1	2	2	2D		LS	6	23	24	24	yes	3.11838	3.11838	3.12573	3.12699	0.09181	0	no	usable	
81	1	3	2	2F*		LS	5	8	4	4	yes	1.03131	1.03131	1.03087	1.03495	0.00904	0	no	usable	
54	1	0	2	2[3/2]*	2P*<3/2>	jK	6	20	30	30	yes	4.02132	4.02132	4.01861	4.02128	0.11987	0	no	usable	
54	1	0	2	2[1/2]*	2P*<1/2>	jK	6	20	17	17	yes	4.01526	4.01526	4.03346	4.01194	0.14172	0	no	usable	
54	1	1	2	2[1/2]	2P*<3/2>	jK	6	20	27	27	yes	3.50651	3.50651	3.51799	3.42817	0.26181	2	no	usable	
