Z	charge	l	mult	term	parent	language	n_lo	n_hi	members_stored	members_found	count_match	delta_stored	delta_median	delta_mean	delta_asym	spread	bracketed	asym_bracketed	delta_status	refusal
31	1	2	2	2D		LS	4	34	45	50	no	1.31599	1.31625	1.29671	1.33539	0.19230	0	no	usable	
31	1	1	4	4P		LS	4	4	3	0	no									outer_occupancy_gt_1
31	1	3	2	2F*		LS	4	8	5	10	no	0.02587	0.02587	0.02521	0.02737	0.00570	0	no	usable	
31	1	1	2	2[1]	3P*<0>	jK	5	17	15	22	no	2.30452	2.28567	2.28780	2.30452	0.44994	0	no	usable	
31	1	1	2	2[1]	3P*<1>	jK	5	16	17	24	no	2.27448	2.23890	2.21411	2.15734	0.50299	0	no	usable	
31	1	1	2	2[2]	3P*<1>	jK	5	10	6	6	yes	2.21009	2.21009	2.20372	2.06874	0.22201	0	no	usable	
31	1	1	2	2[2]	3P*<2>	jK	5	11	8	8	yes	2.22557	2.22557	2.24527	2.22572	0.40521	0	no	usable	
31	1	1	2	2[0]	3P*<1>	jK	5	8	4	4	yes	2.21720	2.21720	2.20153	2.11133	0.14907	0	no	usable	
31	1	1	2	2[1]	3P*<2>	jK	5	8	7	8	no	2.30816	2.29963	2.26185	2.12864	0.21568	0	no	usable	
32	1	1	3	3P		LS	4	7	12	9	no	2.32485	2.29407	2.04957	2.30568	1.08551	0	no	usable	
32	1	1	1	1D		LS	4	7	4	3	no	2.04292	1.87920	1.76037	1.19527	1.01137	0	no	usable	
32	1	1	1	1S		LS	4	7	4	3	no	1.89965	1.73860	1.59712	0.99205	1.06865	0	no	usable	
32	1	0	3	3P*		LS	5	5	3	3	yes	2.94601	2.94601	2.92986	2.95584	0.06811	0	no	usable	
32	1	1	3	3D		LS	5	7	9	9	yes	2.39570	2.39570	2.26747	2.44912	1.11552	0	no	usable	
32	1	1	1	1P		LS	5	8	4	4	yes	2.39358	2.39358	2.39854	2.35157	0.10385	0	no	usable	
32	1	2	3	3D*		LS	4	5	6	6	yes	1.28748	1.28748	1.30434	1.37276	0.11726	0	no	usable	
32	1	1	3	3S		LS	5	7	3	3	yes	1.93166	1.93166	1.82585	1.28396	0.97797	0	no	usable	
32	1	2	3	3F*		LS	4	5	6	6	yes	1.11179	1.11179	1.07933	1.30247	0.52420	0	no	usable	
