Z	charge	l	mult	delta	grade	source	B	witness	bound	tier
56	0	2	3	-0.32851	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3G [] n=6-7	9.82049	witnessed	6 members; limit 42034.91	C
56	0	4	1	0.05072	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1G [] n=8-25	0.03354	witnessed	18 members; limit 42034.91	A
56	0	4	3	0.05145	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3G [] n=8-25	0.10473	witnessed	29 members; limit 42034.91	B
55	0	0	2	4.05120	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2S [] n=6-25	0.08085	witnessed	20 members; limit 31406.4677325	B
55	0	1	2	3.59251	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P* [] n=6-25	0.11203	witnessed	40 members; limit 31406.4677325	B
55	0	2	2	2.46643	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2D [] n=5-25	0.03053	witnessed	42 members; limit 31406.4677325	A
55	0	3	2	0.03254	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2F* [] n=4-25	0.01136	witnessed	44 members; limit 31406.4677325	A
55	0	4	2	0.00667	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2G [] n=5-25	0.00194	witnessed	28 members; limit 31406.4677325	A
87	0	0	2	5.07221	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2S [] n=7-30	0.10117	witnessed	24 members; limit 32848.872	B
87	0	1	2	4.59521	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P* [] n=7-30	0.19183	witnessed	48 members; limit 32848.872	B
87	0	2	2	3.42371	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2D [] n=6-30	2.38116	witnessed	50 members; limit 32848.872	C
31	0	1	2	2.23129	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P* [] n=4-70	0.49296	witnessed	50 members; limit 48387.634	C
31	0	0	2	2.79528	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2S [] n=5-28	0.05340	witnessed	24 members; limit 48387.634	B
31	0	2	2	1.31599	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2D [] n=4-34	0.19230	witnessed	45 members; limit 48387.634	B
31	0	1	4	0.69493	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P [] n=4-4	0.15711	witnessed	3 members; limit 48387.634	B
31	0	3	2	0.02587	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2F* [] n=4-8	0.00570	witnessed	5 members; limit 48387.634	A
31	0	1	2	2.30452	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1] [3P*<0>] n=5-17	0.44994	witnessed	15 members; limit 95755.14	C
31	0	1	2	2.27448	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1] [3P*<1>] n=5-16	0.50299	witnessed	17 members; limit 96201.68	C
31	0	1	2	2.21009	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[2] [3P*<1>] n=5-10	0.22201	witnessed	6 members; limit 96201.68	C
31	0	1	2	2.22557	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[2] [3P*<2>] n=5-11	0.40521	witnessed	8 members; limit 97137.37	C
31	0	1	2	2.21720	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[0] [3P*<1>] n=5-8	0.14907	witnessed	4 members; limit 96201.68	B
31	0	1	2	2.30816	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1] [3P*<2>] n=5-8	0.21568	witnessed	7 members; limit 97137.37	C
32	0	1	3	2.32485	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P [] n=4-7	1.37494	witnessed	12 members; limit 63713.24	C
32	0	1	1	2.04292	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1D [] n=4-7	1.41217	witnessed	4 members; limit 63713.24	C
32	0	1	1	1.89965	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1S [] n=4-7	1.48553	witnessed	4 members; limit 63713.24	C
32	0	0	3	2.94601	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P* [] n=5-5	0.06811	witnessed	3 members; limit 63713.24	B
32	0	1	3	2.39570	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3D [] n=5-7	1.11552	witnessed	9 members; limit 63713.24	C
32	0	1	1	2.39358	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1P [] n=5-8	0.10385	witnessed	4 members; limit 63713.24	B
32	0	2	3	1.28748	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3D* [] n=4-5	0.11726	witnessed	6 members; limit 63713.24	B
32	0	1	3	1.93166	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3S [] n=5-7	0.97797	witnessed	3 members; limit 63713.24	C
32	0	2	3	1.11179	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3F* [] n=4-5	0.52420	witnessed	6 members; limit 63713.24	C
32	0	2	3	0.88662	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P* [] n=4-5	0.32856	witnessed	6 members; limit 63713.24	C
32	0	0	0	2.88466	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (1/2,1/2)* [] n=6-43	0.12564	witnessed	68 members; limit 63713.24	B
32	0	0	0	2.86568	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (3/2,1/2)* [] n=6-33	0.07256	witnessed	49 members; limit 65480.6	B
32	0	3	2	0.02640	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[7/2] [2P*<1/2>] n=4-7	0.00704	witnessed	8 members; limit 63713.24	A
32	0	3	2	0.02495	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2] [2P*<1/2>] n=4-7	0.00717	witnessed	8 members; limit 63713.24	A
32	0	2	0	0.38923	measured	NIST ASD fetched 2026-08-14 (session 1.8); series * [] n=5-5	0.77693	witnessed	3 members; limit 63713.24	C
32	0	2	0	1.25782	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (3/2,3/2)* [] n=6-41	25.01763	witnessed	85 members; limit 65480.6	C
32	0	3	2	0.04890	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[7/2] [2P*<3/2>] n=4-6	0.00452	witnessed	6 members; limit 65480.6	A
32	0	3	2	0.03014	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2] [2P*<3/2>] n=4-5	0.00198	witnessed	4 members; limit 65480.6	A
32	0	3	2	0.01731	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[9/2] [2P*<3/2>] n=4-7	0.00823	witnessed	7 members; limit 65480.6	A
32	0	3	2	-0.00416	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2] [2P*<3/2>] n=4-5	0.00490	witnessed	4 members; limit 65480.6	A
32	0	2	0	1.31584	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (1/2,3/2)* [] n=6-67	1.07465	witnessed	82 members; limit 63713.24	C
32	0	2	0	1.21619	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (1/2,5/2)* [] n=6-70	0.90882	witnessed	90 members; limit 63713.24	C
32	0	2	0	0.96223	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (3/2,5/2)* [] n=6-64	0.52972	witnessed	127 members; limit 65480.6	C
32	0	4	0	0.00683	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (1/2,7/2)* [] n=6-15	0.00779	witnessed	8 members; limit 63713.24	A
72	0	0	3	4.55686	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3F [] n=6-6	0.06249	witnessed	3 members; limit 55047.9	B
72	0	0	3	4.49542	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3P [] n=6-6	0.05492	witnessed	3 members; limit 55047.9	B
72	0	1	3	4.32008	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 3D* [a_2D] n=6-6	0.09458	witnessed	3 members; limit 55047.9	B
72	0	0	5	4.33057	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 5F [b_4F] n=6-6	0.08188	witnessed	5 members; limit 55047.9	B
72	0	1	3	4.35405	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 3F* [a_2D] n=6-6	0.08252	witnessed	3 members; limit 55047.9	B
72	0	1	5	4.20577	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 5G* [a_4F] n=6-6	0.20459	witnessed	5 members; limit 55047.9	C
72	0	1	3	4.27264	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 3P* [a_2D] n=6-6	0.03984	witnessed	3 members; limit 55047.9	A
72	0	0	5	4.20713	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 5P [b_4P] n=6-6	0.03812	witnessed	3 members; limit 55047.9	A
72	0	1	5	4.13646	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 5F* [a_4F] n=6-6	0.13539	witnessed	5 members; limit 55047.9	B
72	0	0	3	4.14221	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3G [b_2G] n=6-6	0.03560	witnessed	3 members; limit 55047.9	A
72	0	0	3	4.07994	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 3F [b_4F] n=6-6	0.12065	witnessed	3 members; limit 55047.9	B
72	0	0	3	4.08628	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3D [c_2D] n=6-6	0.09879	witnessed	3 members; limit 55047.9	B
72	0	1	5	4.06847	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 5D* [a_4F] n=6-6	0.08648	witnessed	5 members; limit 55047.9	B
72	0	0	3	4.02488	measured	NIST ASD fetched 2026-08-14 (session 1.8); series c 3P [b_2P] n=6-6	0.09641	witnessed	3 members; limit 55047.9	B
72	0	0	3	4.02397	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3H [2H] n=6-6	0.04567	witnessed	3 members; limit 55047.9	A
72	0	1	3	3.99851	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 3F* [a_4F] n=6-6	0.14113	witnessed	3 members; limit 55047.9	B
72	0	1	5	3.91714	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 5D* [a_4P] n=6-6	0.19313	witnessed	5 members; limit 55047.9	B
72	0	1	3	3.95568	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 3D* [a_4F] n=6-6	0.06871	witnessed	3 members; limit 55047.9	B
72	0	0	3	3.90075	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 3P [b_4P] n=6-6	0.07151	witnessed	3 members; limit 55047.9	B
72	0	1	3	3.93768	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 3G* [a_4F] n=6-6	0.09884	witnessed	3 members; limit 55047.9	B
72	0	0	3	3.83778	measured	NIST ASD fetched 2026-08-14 (session 1.8); series c 3F [b_2F] n=6-6	0.02565	witnessed	3 members; limit 55047.9	A
72	0	1	5	3.76286	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 5P* [a_4P] n=6-6	0.05826	witnessed	3 members; limit 55047.9	B
72	0	1	3	3.71694	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 3G* [a_2F] n=6-6	0.19211	witnessed	3 members; limit 55047.9	B
72	0	1	3	3.66343	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 3D* [a_4P] n=6-6	0.20163	witnessed	3 members; limit 55047.9	C
72	0	1	3	3.71940	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 3F* [a_2F] n=6-6	0.14627	witnessed	3 members; limit 55047.9	B
72	0	1	3	3.63346	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 3F* [a_2G] n=6-6	0.20141	witnessed	3 members; limit 55047.9	C
72	0	1	3	3.54954	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 3D* [a_2F] n=6-6	0.25162	witnessed	3 members; limit 55047.9	C
72	0	1	3	3.57291	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 3H* [a_2G] n=6-6	0.15834	witnessed	3 members; limit 55047.9	B
72	0	0	3	3.53151	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 3D [2D] n=6-6	0.05519	witnessed	3 members; limit 55047.9	B
72	0	1	3	3.43831	measured	NIST ASD fetched 2026-08-14 (session 1.8); series v 3D* [b_2D] n=6-6	0.16855	witnessed	3 members; limit 55047.9	B
72	0	1	3	3.45151	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 3P* [b_2D] n=6-6	0.12560	witnessed	3 members; limit 55047.9	B
72	0	0	5	4.21673	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 5F [a_4F] n=7-7	0.53204	witnessed	5 members; limit 55047.9	C
72	0	0	3	4.25224	measured	NIST ASD fetched 2026-08-14 (session 1.8); series d 3D [a_2D] n=7-7	0.24627	witnessed	3 members; limit 55047.9	C
72	0	1	3	3.27522	measured	NIST ASD fetched 2026-08-14 (session 1.8); series u 3D* [a_2P] n=6-6	0.09775	witnessed	3 members; limit 55047.9	B
72	0	0	5	3.19853	measured	NIST ASD fetched 2026-08-14 (session 1.8); series c 5F [4F] n=6-6	0.29573	witnessed	4 members; limit 55047.9	C
72	0	2	5	2.18384	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 5D [] n=5-5	0.23321	witnessed	5 members; limit 55047.9	C
72	0	1	3	2.96879	measured	NIST ASD fetched 2026-08-14 (session 1.8); series v 3F* [b_2D] n=6-6	0.64084	witnessed	3 members; limit 55047.9	C
72	0	1	5	3.08004	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 5G* [b_4F] n=6-6	0.44051	witnessed	4 members; limit 55047.9	C
72	0	1	3	3.18558	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 3P* [a_2P] n=6-6	0.10018	witnessed	3 members; limit 55047.9	B
72	0	1	3	3.11924	measured	NIST ASD fetched 2026-08-14 (session 1.8); series u 3F* [b_2G] n=6-6	0.12168	witnessed	3 members; limit 55047.9	B
72	0	0	3	3.91877	measured	NIST ASD fetched 2026-08-14 (session 1.8); series d 3F [a_4F] n=7-7	0.44368	witnessed	3 members; limit 55047.9	C
72	0	0	3	3.05898	measured	NIST ASD fetched 2026-08-14 (session 1.8); series e 3D [4D] n=6-6	0.07094	witnessed	3 members; limit 55047.9	B
72	0	0	5	2.98014	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 5D [4D] n=6-6	0.13770	witnessed	4 members; limit 55047.9	B
72	0	1	5	2.67663	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 5F* [b_4F] n=6-6	0.65815	witnessed	5 members; limit 55047.9	C
72	0	0	3	3.64991	measured	NIST ASD fetched 2026-08-14 (session 1.8); series e 3P [a_4P] n=7-7	0.13658	witnessed	3 members; limit 55047.9	B
72	0	0	5	2.63356	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 5P [4P] n=6-6	0.15466	witnessed	3 members; limit 55047.9	B
72	0	0	3	2.57993	measured	NIST ASD fetched 2026-08-14 (session 1.8); series e 3F [4F] n=6-6	0.11117	witnessed	3 members; limit 55047.9	B
72	0	1	5	2.48419	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 5D* [b_4F] n=6-6	0.56326	witnessed	5 members; limit 55047.9	C
72	0	0	3	2.50654	measured	NIST ASD fetched 2026-08-14 (session 1.8); series f 3F [2F] n=6-6	0.12123	witnessed	3 members; limit 55047.9	B
72	0	0	3	2.37907	measured	NIST ASD fetched 2026-08-14 (session 1.8); series g 3F [2F] n=6-6	0.14611	witnessed	3 members; limit 55047.9	B
72	0	1	3	1.98626	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 3G* [b_4F] n=6-6	0.76153	witnessed	3 members; limit 55047.9	C
72	0	0	5	3.32153	measured	NIST ASD fetched 2026-08-14 (session 1.8); series c 5P [a_4P] n=7-7	0.26770	witnessed	3 members; limit 55047.9	C
72	0	0	3	2.22536	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 3G [2G] n=6-6	0.19181	witnessed	3 members; limit 55047.9	B
72	0	0	3	2.23534	measured	NIST ASD fetched 2026-08-14 (session 1.8); series f 3D [2D] n=6-6	0.19254	witnessed	3 members; limit 55047.9	B
