Z	charge	l	mult	delta	grade	source	B	witness	bound	tier
36	0	1	2	2.54309	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1/2] [2P*<3/2>] n=5-20	0.64668	witnessed	32 members; limit 112914.433	C
36	0	1	2	2.62801	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2] [2P*<3/2>] n=5-20	0.07442	witnessed	28 members; limit 112914.433	B
36	0	1	2	2.59629	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2] [2P*<3/2>] n=5-20	0.13251	witnessed	32 members; limit 112914.433	B
36	0	2	2	1.45565	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1/2]* [2P*<3/2>] n=4-20	0.19036	witnessed	34 members; limit 112914.433	B
36	0	1	2	1.01205	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2] [2P*<1/2>] n=5-7	12.53044	witnessed	6 members; limit 112914.433	C
36	0	2	2	1.23945	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2P*<3/2>] n=4-20	0.32757	witnessed	34 members; limit 112914.433	C
36	0	2	2	1.35829	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[7/2]* [2P*<3/2>] n=4-20	0.13739	witnessed	34 members; limit 112914.433	B
36	0	1	2	0.91407	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1/2] [2P*<1/2>] n=5-7	16.40979	witnessed	6 members; limit 112914.433	C
36	0	2	2	1.27794	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2]* [2P*<3/2>] n=4-20	0.12890	witnessed	34 members; limit 112914.433	B
36	0	3	2	0.03068	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2] [2P*<3/2>] n=4-20	0.02381	witnessed	32 members; limit 112914.433	A
36	0	3	2	0.02447	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[9/2] [2P*<3/2>] n=4-20	0.00585	witnessed	16 members; limit 112914.433	A
36	0	3	2	0.01477	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2] [2P*<3/2>] n=4-20	0.00671	witnessed	29 members; limit 112914.433	A
36	0	3	2	0.00744	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[7/2] [2P*<3/2>] n=4-20	0.00575	witnessed	13 members; limit 112914.433	A
71	0	1	2	4.02164	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P* [] n=6-27	0.40387	witnessed	38 members; limit 43762.6	C
71	0	1	4	3.87341	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4F* [3D] n=6-6	0.23636	witnessed	4 members; limit 43762.6	C
71	0	0	4	3.85864	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4F [3F] n=6-6	0.10861	witnessed	4 members; limit 43762.6	B
71	0	1	4	3.76889	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4D* [3D] n=6-6	0.14427	witnessed	4 members; limit 43762.6	B
71	0	0	4	3.72994	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P [3P] n=6-6	0.06930	witnessed	3 members; limit 43762.6	B
71	0	1	4	3.62499	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P* [3D] n=6-6	0.06791	witnessed	3 members; limit 43762.6	B
71	0	0	2	4.48879	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2S [] n=7-14	0.56311	witnessed	8 members; limit 43762.6	C
71	0	2	2	2.88031	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2D [] n=6-34	0.72844	witnessed	31 members; limit 43762.6	C
71	0	1	4	2.67588	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P [] n=6-6	0.40444	witnessed	3 members; limit 43762.6	C
71	0	3	2	1.12064	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2F* [] n=5-35	0.15290	witnessed	60 members; limit 43762.6	B
71	0	0	4	2.82159	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4D [3D] n=7-7	0.94876	witnessed	4 members; limit 43762.6	C
11	0	0	2	1.34857	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2S [] n=3-20	0.02475	witnessed	18 members; limit 41449.451	A
11	0	1	2	0.85615	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P* [] n=3-20	0.02842	witnessed	36 members; limit 41449.451	A
11	0	2	2	0.01488	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2D [] n=3-20	0.00466	witnessed	29 members; limit 41449.451	A
11	0	3	2	0.00160	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2F* [] n=4-20	0.00050	witnessed	17 members; limit 41449.451	A
11	0	4	2	0.00042	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2G [] n=5-20	0.00015	witnessed	18 members; limit 41449.451	A
11	0	5	2	0.00013	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2H* [] n=6-10	0.00003	witnessed	6 members; limit 41449.451	A
11	0	1	4	1.32826	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4D [3P*] n=3-3	0.02104	witnessed	4 members; limit 306373.77	A
11	0	1	4	1.28883	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P [3P*] n=3-3	0.01302	witnessed	3 members; limit 306373.77	A
11	0	1	2	1.25839	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2D [3P*] n=3-4	0.38312	witnessed	3 members; limit 306373.77	C
11	0	1	2	1.09397	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2D [1P*] n=3-4	0.13811	witnessed	4 members; limit 310212.41	B
11	0	1	2	1.08301	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P [1P*] n=3-4	0.12271	witnessed	4 members; limit 310212.41	B
11	0	0	4	1.56493	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P* [3P*] n=4-10	14.75494	witnessed	7 members; limit 306373.77	C
11	0	0	2	1.57204	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P* [3P*] n=4-16	0.45287	witnessed	13 members; limit 306373.77	C
11	0	2	2	0.40245	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P* [3P*] n=3-4	0.06654	witnessed	4 members; limit 306373.77	B
11	0	0	2	1.63961	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P* [1P*] n=4-15	0.23160	witnessed	12 members; limit 310212.41	C
11	0	2	4	0.21561	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P* [3P*] n=3-10	0.15832	witnessed	5 members; limit 306373.77	B
11	0	2	4	-0.04256	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4F* [3P*] n=3-9	39.13219	witnessed	8 members; limit 306373.77	C
11	0	2	4	0.12116	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4D* [3P*] n=3-8	2.00129	witnessed	5 members; limit 306373.77	C
11	0	2	2	0.34747	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P* [1P*] n=3-20	0.68170	witnessed	18 members; limit 310212.41	C
11	0	0	4	1.26176	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P*? [3P*] n=6-9	4.95102	witnessed	3 members; limit 306373.77	C
11	0	2	4	0.12220	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P*? [3P*] n=6-12	0.28423	witnessed	3 members; limit 306373.77	C
11	0	0	2	-6.40190	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P*,4P* [3P*] n=7-13	20.28772	witnessed	4 members; limit 306373.77	C
11	0	1	2	9.32216	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1]* [3S<1>] n=4-16	11.98973	witnessed	13 members; limit 572350.0	C
11	0	1	0	6.31527	measured	NIST ASD fetched 2026-08-14 (session 1.8); series  [1D<2>] n=4-10	5.99068	witnessed	7 members; limit 572350.0	C
11	0	1	0	8.31288	measured	NIST ASD fetched 2026-08-14 (session 1.8); series  [1P<1>] n=4-14	9.99023	witnessed	11 members; limit 572350.0	C
11	0	0	2	9.25797	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1]* [3D*<1>] n=4-16	11.96763	witnessed	13 members; limit 572350.0	C
11	0	2	0	6.76188	measured	NIST ASD fetched 2026-08-14 (session 1.8); series  [3F*<2>] n=4-11	6.98672	witnessed	8 members; limit 572350.0	C
82	0	1	0	4.37696	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (1/2,1/2) [] n=6-12	0.35367	witnessed	13 members; limit 59819.558	C
82	0	1	0	2.62823	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (3/2,1/2) [] n=6-7	4.57647	witnessed	4 members; limit 59819.558	C
82	0	1	0	4.35373	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (3/2,3/2) [] n=6-8	0.26494	witnessed	6 members; limit 73900.632	C
82	0	0	0	4.82896	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (1/2,1/2)* [] n=7-17	0.08349	witnessed	18 members; limit 59819.558	B
82	0	1	0	4.26949	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (1/2,3/2) [] n=7-12	0.24522	witnessed	12 members; limit 59819.558	C
82	0	2	2	3.19730	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2]* [2P*<1/2>] n=6-14	0.12559	witnessed	17 members; limit 59819.558	B
82	0	2	2	3.17641	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2P*<1/2>] n=6-20	0.08354	witnessed	22 members; limit 59819.558	B
82	0	0	0	4.88142	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (3/2,1/2)* [] n=7-9	0.06878	witnessed	4 members; limit 73900.632	B
82	0	3	2	1.04692	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2] [2P*<1/2>] n=5-8	0.09304	witnessed	8 members; limit 59819.558	B
82	0	3	2	1.04014	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[7/2] [2P*<1/2>] n=5-11	0.01546	witnessed	14 members; limit 59819.558	A
82	0	4	2	0.01073	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[7/2]* [2P*<1/2>] n=5-10	0.00448	witnessed	6 members; limit 59819.558	A
82	0	2	2	3.26694	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2]* [2P*<3/2>] n=6-8	0.47084	witnessed	4 members; limit 73900.632	C
82	0	2	2	3.30311	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2P*<3/2>] n=6-8	0.05702	witnessed	3 members; limit 73900.632	B
88	0	1	3	4.84293	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P* [] n=7-8	1.73146	witnessed	9 members; limit 42573.36	C
88	0	2	3	3.89749	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3D [] n=6-7	0.30201	witnessed	6 members; limit 42573.36	C
88	0	1	1	4.61288	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1P* [] n=7-52	0.20364	witnessed	42 members; limit 42573.36	C
88	0	1	3	4.03180	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3F* [] n=7-7	0.53145	witnessed	3 members; limit 42573.36	C
88	0	1	3	3.69836	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3D* [] n=7-7	0.16393	witnessed	3 members; limit 42573.36	B
88	0	3	3	1.14629	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3F* [] n=5-8	0.05501	witnessed	10 members; limit 42573.36	B
86	0	0	2	5.04772	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2P*<3/2>] n=7-12	0.13676	witnessed	9 members; limit 86692.5	B
86	0	1	2	4.45545	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1/2] [2P*<3/2>] n=7-11	0.29622	witnessed	9 members; limit 86692.5	C
86	0	1	2	4.54979	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2] [2P*<3/2>] n=7-12	0.16583	witnessed	10 members; limit 86692.5	B
86	0	2	2	3.51651	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1/2]* [2P*<3/2>] n=6-10	0.10706	witnessed	10 members; limit 86692.5	B
86	0	1	2	4.48326	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2] [2P*<3/2>] n=7-12	0.10510	witnessed	11 members; limit 86692.5	B
86	0	2	2	3.40150	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[7/2]* [2P*<3/2>] n=6-12	0.05761	witnessed	13 members; limit 86692.5	B
86	0	2	2	3.40491	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2P*<3/2>] n=6-11	0.23732	witnessed	8 members; limit 86692.5	C
86	0	2	2	3.33075	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2]* [2P*<3/2>] n=7-11	0.04067	witnessed	10 members; limit 86692.5	A
86	0	3	2	1.06324	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2] [2P*<3/2>] n=5-8	0.01569	witnessed	8 members; limit 86692.5	A
86	0	3	2	1.05089	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[9/2] [2P*<3/2>] n=5-10	0.01229	witnessed	6 members; limit 86692.5	A
86	0	3	2	1.03175	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2] [2P*<3/2>] n=5-9	0.01546	witnessed	7 members; limit 86692.5	A
86	0	3	2	1.01832	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[7/2] [2P*<3/2>] n=5-7	0.00725	witnessed	3 members; limit 86692.5	A
50	0	1	3	3.32111	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P [] n=5-9	1.84709	witnessed	12 members; limit 59232.69	C
50	0	1	1	2.84765	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1D [] n=5-7	1.95041	witnessed	3 members; limit 59232.69	C
50	0	1	1	2.65823	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1S [] n=5-7	2.30769	witnessed	3 members; limit 59232.69	C
50	0	0	3	4.76150	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P* [] n=6-19	10.35357	witnessed	21 members; limit 63484.18	C
50	0	0	1	3.80188	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1P* [] n=6-17	0.09023	witnessed	12 members; limit 63484.18	B
50	0	1	3	3.33962	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3D [] n=6-9	1.62950	witnessed	10 members; limit 59232.69	C
50	0	2	3	3.24536	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3F* [] n=5-12	5.34322	witnessed	16 members; limit 63484.18	C
50	0	2	3	2.38083	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3D* [] n=5-12	5.63990	witnessed	19 members; limit 63484.18	C
50	0	2	1	2.39562	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1D* [] n=5-12	0.10440	witnessed	4 members; limit 63484.18	B
50	0	2	3	2.51090	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P* [] n=5-27	2.01968	witnessed	34 members; limit 63484.18	C
50	0	2	1	-0.11499	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1F* [] n=5-7	11.78168	witnessed	3 members; limit 59232.69	C
50	0	2	1	2.05799	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1P* [] n=5-19	0.16970	witnessed	15 members; limit 63484.18	B
50	0	3	3	0.03098	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3G [] n=4-6	0.85279	witnessed	5 members; limit 63484.18	C
50	0	3	3	0.04108	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3F [] n=4-8	2.37169	witnessed	15 members; limit 59232.69	C
50	0	3	1	0.04405	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1F [] n=4-7	2.26973	witnessed	4 members; limit 59232.69	C
50	0	2	3	2.19145	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3F* [] n=8-12	0.39326	witnessed	4 members; limit 59232.69	C
50	0	3	3	-2.49422	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3D [] n=4-4	0.17557	witnessed	3 members; limit 59232.69	B
50	0	2	3	2.11182	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3P* [] n=9-12	0.64467	witnessed	4 members; limit 59232.69	C
50	0	2	3	2.56415	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 3P* [] n=9-19	2.35424	witnessed	11 members; limit 63484.18	C
50	0	2	3	2.16362	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 3F* [] n=8-12	0.02757	witnessed	3 members; limit 63484.18	A
38	0	0	1	3.26812	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1S [] n=5-20	0.28246	witnessed	16 members; limit 45932.2036	C
38	0	1	3	8.39906	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P* [] n=5-20	14.48304	witnessed	48 members; limit 60488.09	C
38	0	2	3	1.98478	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3D [] n=4-20	0.77124	witnessed	44 members; limit 45932.2036	C
38	0	2	1	8.37367	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1D [] n=4-20	15.75302	witnessed	19 members; limit 60488.09	C
38	0	1	1	8.87832	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1P* [] n=5-20	14.70699	witnessed	18 members; limit 60488.09	C
38	0	0	3	3.37505	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3S [] n=6-20	0.07947	witnessed	15 members; limit 45932.2036	B
38	0	1	3	2.01823	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3F* [] n=5-5	0.07888	witnessed	3 members; limit 45932.2036	B
38	0	1	3	1.77211	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P [] n=5-5	0.07412	witnessed	3 members; limit 45932.2036	B
38	0	1	3	2.85559	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3D* [] n=5-6	0.05591	witnessed	6 members; limit 60488.09	B
38	0	3	3	0.10967	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3F* [] n=4-20	0.02953	witnessed	50 members; limit 45932.2036	A
38	0	3	1	0.07684	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1F* [] n=4-20	0.22893	witnessed	17 members; limit 45932.2036	C
38	0	2	3	1.37802	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P [] n=4-5	0.15639	witnessed	5 members; limit 60488.09	B
38	0	2	3	1.57190	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3F [] n=5-5	0.03991	witnessed	3 members; limit 60488.09	A
38	0	3	2	0.22550	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2D<3/2>] n=4-10	0.23363	witnessed	4 members; limit 60488.09	C
38	0	3	2	0.13677	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2D<5/2>] n=4-10	0.14243	witnessed	4 members; limit 60768.43	B
38	0	2	0	1.58691	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (3/2,3/2) [] n=6-10	0.31413	witnessed	15 members; limit 60488.09	C
38	0	2	0	1.77250	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (3/2,5/2) [] n=6-10	0.21215	witnessed	9 members; limit 60488.09	C
38	0	2	0	1.28129	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (5/2,5/2) [] n=6-10	1.17818	witnessed	16 members; limit 60488.09	C
38	0	1	2	2.64452	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2D<3/2>] n=7-10	0.17881	witnessed	3 members; limit 60488.09	B
38	0	2	0	1.36044	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (5/2,3/2) [] n=6-10	0.62220	witnessed	10 members; limit 60488.09	C
38	0	1	2	2.64581	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2D<5/2>] n=7-10	0.13039	witnessed	3 members; limit 60768.43	B
38	0	0	0	3.25459	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (3/2,1/2) [] n=8-11	0.95079	witnessed	4 members; limit 60488.09	C
38	0	0	0	3.14923	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (5/2,1/2) [] n=8-11	0.55257	witnessed	3 members; limit 60488.09	C
38	0	3	0	0.17610	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (3/2,5/2)* [] n=5-7	0.20654	witnessed	6 members; limit 60488.09	C
38	0	3	0	0.07319	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (3/2,7/2)* [] n=5-7	0.00603	witnessed	3 members; limit 60488.09	A
38	0	4	2	0.03587	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2] [2D<3/2>] n=5-9	0.02571	witnessed	4 members; limit 60488.09	A
38	0	3	0	-0.04892	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (5/2,5/2)* [] n=5-7	0.20957	witnessed	6 members; limit 60488.09	C
38	0	3	0	-0.14365	measured	NIST ASD fetched 2026-08-14 (session 1.8); series (5/2,7/2)* [] n=5-7	0.28697	witnessed	6 members; limit 60488.09	C
38	0	4	2	0.03533	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[5/2] [2D<5/2>] n=5-10	0.02321	witnessed	6 members; limit 60768.43	A
38	0	4	2	0.02844	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2] [2D<5/2>] n=5-10	0.02733	witnessed	7 members; limit 60768.43	A
22	0	0	3	2.58623	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3F [] n=4-4	0.00498	witnessed	3 members; limit 55072.5	A
22	0	0	5	2.49443	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 5F [4F] n=4-4	0.00445	witnessed	5 members; limit 55072.5	A
22	0	0	3	2.46512	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3P [] n=4-4	0.00273	witnessed	3 members; limit 55072.5	A
22	0	0	3	2.41048	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 3F [4F] n=4-4	0.00449	witnessed	3 members; limit 55072.5	A
22	0	0	5	2.36488	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 5P [4P] n=4-4	0.00247	witnessed	3 members; limit 55072.5	A
22	0	0	3	2.34193	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3G [2G] n=4-4	0.00233	witnessed	3 members; limit 55072.5	A
22	0	1	5	2.32186	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 5G* [3P*] n=4-4	0.01255	witnessed	5 members; limit 55072.5	A
22	0	1	5	2.30313	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 5F* [3P*] n=4-4	0.00888	witnessed	5 members; limit 55072.5	A
22	0	0	3	2.29274	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3D [2D2] n=4-4	0.00387	witnessed	3 members; limit 55072.5	A
22	0	0	3	2.27810	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 3P [2P] n=4-4	0.00349	witnessed	3 members; limit 55072.5	A
22	0	0	3	2.27624	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 3H [2H] n=4-4	0.00362	witnessed	3 members; limit 55072.5	A
22	0	1	5	2.26721	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 5D* [3P*] n=4-4	0.00552	witnessed	5 members; limit 55072.5	A
22	0	0	3	2.26004	measured	NIST ASD fetched 2026-08-14 (session 1.8); series c 3P [4P] n=4-4	0.00224	witnessed	3 members; limit 55072.5	A
22	0	1	3	2.24556	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 3F* [3P*] n=4-4	0.00618	witnessed	3 members; limit 55072.5	A
22	0	1	3	2.23100	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 3D* [3P*] n=4-4	0.00475	witnessed	3 members; limit 55072.5	A
22	0	1	3	2.18968	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 3G* [3P*] n=4-4	0.00731	witnessed	3 members; limit 55072.5	A
22	0	0	3	2.12354	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3F [2F] n=4-5	0.10125	witnessed	6 members; limit 55072.5	B
22	0	1	3	2.08249	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 3F* [1P*] n=4-4	0.00903	witnessed	3 members; limit 55072.5	A
22	0	1	3	2.07566	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 3D* [4F] n=4-4	0.01060	witnessed	3 members; limit 55072.5	A
22	0	1	3	2.07245	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P* [3P*] n=4-4	0.00265	witnessed	3 members; limit 55072.5	A
22	0	1	5	2.06712	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 5D* [3P*] n=4-4	0.01038	witnessed	5 members; limit 55072.5	A
22	0	1	5	2.03483	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 5G* [4F] n=4-4	0.01443	witnessed	5 members; limit 55072.5	A
22	0	1	3	2.02663	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 3F* [3P*] n=4-4	0.00779	witnessed	3 members; limit 55072.5	A
22	0	1	3	2.00799	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 3D* [3P*] n=4-4	0.00450	witnessed	3 members; limit 55072.5	A
22	0	1	3	2.00087	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 3G* [1P*] n=4-4	0.00915	witnessed	3 members; limit 55072.5	A
22	0	1	5	1.99628	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 5P* [3P*] n=4-4	0.00817	witnessed	3 members; limit 55072.5	A
22	0	1	5	1.96004	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 5F* [4F] n=4-4	0.01162	witnessed	5 members; limit 55072.5	A
22	0	2	5	0.95516	measured	NIST ASD fetched 2026-08-14 (session 1.8); series a 5D [] n=3-3	0.00700	witnessed	5 members; limit 55072.5	A
22	0	1	3	1.91752	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 3D* [1P*] n=4-4	0.01034	witnessed	3 members; limit 55072.5	A
22	0	1	5	1.91179	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 5D* [4F] n=4-4	0.00962	witnessed	5 members; limit 55072.5	A
22	0	1	3	1.90914	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 3G* [3P*] n=4-4	0.00518	witnessed	3 members; limit 55072.5	A
22	0	1	3	1.85641	measured	NIST ASD fetched 2026-08-14 (session 1.8); series v 3D* [3P*] n=4-4	0.00099	witnessed	3 members; limit 55072.5	A
22	0	1	3	1.84288	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 3G* [4F] n=4-4	0.01167	witnessed	3 members; limit 55072.5	A
22	0	1	3	1.83200	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 3P* [3P*] n=4-4	0.00558	witnessed	3 members; limit 55072.5	A
22	0	1	3	1.82318	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 3H* [3P*] n=4-4	0.00863	witnessed	3 members; limit 55072.5	A
22	0	0	3	1.79317	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3D [2D1] n=4-4	0.00210	witnessed	3 members; limit 55072.5	A
22	0	1	3	1.76570	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 3P* [4P] n=4-4	0.00149	witnessed	3 members; limit 55072.5	A
22	0	1	3	1.73511	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 3F* [4F] n=4-4	0.00238	witnessed	3 members; limit 55072.5	A
22	0	1	3	1.71373	measured	NIST ASD fetched 2026-08-14 (session 1.8); series v 3F* [3P*] n=4-4	0.01223	witnessed	3 members; limit 55072.5	A
22	0	2	3	0.70003	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P2 [] n=3-3	0.01756	witnessed	3 members; limit 55072.5	A
