species	designation	core_prefix	limit_cm1	n	E_cm1	two_branch
Si I	ns (1/2,1/2)* J=0		65747.760	19	65372.98	Y
Si I	ns (1/2,1/2)* J=0		65747.760	20	65413.38	Y
Si I	ns (1/2,1/2)* J=0		65747.760	21	65447.45	Y
Si I	ns (1/2,1/2)* J=1		65747.760	6	59273.575	Y
Si I	ns (1/2,1/2)* J=1		65747.760	7	61595.43	Y
Si I	ns (1/2,1/2)* J=1		65747.760	8	62813.26	Y
Si I	ns (1/2,1/2)* J=1		65747.760	9	63584.22	Y
Si I	ns (1/2,1/2)* J=1		65747.760	10	64085.87	Y
Si I	ns (1/2,1/2)* J=1		65747.760	13	64861.02	Y
Si I	ns (1/2,1/2)* J=1		65747.760	14	65002.16	Y
Si I	ns (1/2,1/2)* J=1		65747.760	15	65108.74	Y
Si I	ns (1/2,1/2)* J=1		65747.760	16	65197.98	Y
Si I	ns (1/2,1/2)* J=1		65747.760	17	65268.8	Y
Si I	ns (1/2,1/2)* J=1		65747.760	18	65325.82	Y
Si I	ns (1/2,1/2)* J=1		65747.760	19	65372.8	Y
Si I	ns (1/2,1/2)* J=1		65747.760	20	65414.0	Y
Si I	ns (1/2,1/2)* J=1		65747.760	21	65447.6	Y
Si I	nd (1/2,3/2)* J=1		65747.760	9	64393.66	N
Si I	nd (1/2,3/2)* J=1		65747.760	10	64635.82	N
Si I	nd (1/2,3/2)* J=1		65747.760	11	64832.7	N
Si I	nd (1/2,3/2)* J=1		65747.760	12	64982.42	N
Si I	nd (1/2,3/2)* J=1		65747.760	13	65092.05	N
Si I	nd (1/2,3/2)* J=1		65747.760	14	65184.24	N
Si I	nd (1/2,3/2)* J=1		65747.760	15	65255.31	N
Si I	nd (1/2,3/2)* J=1		65747.760	16	65316.57	N
Si I	nd (1/2,3/2)* J=1		65747.760	17	65365.05	N
Si I	nd (1/2,3/2)* J=1		65747.760	18	65407.72	N
Si I	nd (1/2,3/2)* J=1		65747.760	19	65441.93	N
Si I	nd (1/2,3/2)* J=1		65747.760	20	65472.0	N
Si I	nd (1/2,3/2)* J=1		65747.760	21	65497.91	N
Si I	nd (1/2,3/2)* J=1		65747.760	22	65519.93	N
Si I	nd (1/2,3/2)* J=1		65747.760	23	65539.72	N
Si I	nd (1/2,3/2)* J=1		65747.760	24	65555.69	N
Si I	nd (1/2,3/2)* J=1		65747.760	25	65571.35	N
Si I	nd (1/2,3/2)* J=1		65747.760	26	65584.8	N
Si I	nd (1/2,3/2)* J=1		65747.760	27	65596.21	N
Si I	nd (1/2,3/2)* J=1		65747.760	28	65608.44	N
Si I	nd (1/2,3/2)* J=1		65747.760	29	65616.3	N
Si I	nd (1/2,3/2)* J=1		65747.760	30	65625.2	N
Si I	nd (1/2,3/2)* J=1		65747.760	31	65633.15	N
Si I	nd (1/2,3/2)* J=1		65747.760	32	65640.16	N
Si I	nd (1/2,3/2)* J=1		65747.760	33	65646.6	N
Si I	nd (1/2,3/2)* J=1		65747.760	34	65652.4	N
Si I	nd (1/2,3/2)* J=1		65747.760	35	65658.0	N
Si I	nd (1/2,3/2)* J=1		65747.760	37	65667.26	N
Si I	nd (1/2,3/2)* J=1		65747.760	38	65671.4	N
Si I	nd (1/2,3/2)* J=1		65747.760	39	65675.3	N
Si I	nd (1/2,3/2)* J=1		65747.760	40	65678.99	N
Si I	nd (1/2,3/2)* J=1		65747.760	41	65682.2	N
Si I	nd (1/2,3/2)* J=1		65747.760	43	65688.15	N
Si I	nd (1/2,3/2)* J=1		65747.760	44	65690.9	N
Si I	nd (3/2,3/2)* J=1		66035.000	8	64337.81	Y
Si I	nd (3/2,3/2)* J=1		66035.000	9	64699.46	Y
Si I	nd (3/2,3/2)* J=1		66035.000	10	64946.12	Y
Si I	nd (3/2,3/2)* J=1		66035.000	11	65135.28	Y
Si I	nd (3/2,3/2)* J=1		66035.000	12	65278.23	Y
Si I	nd (3/2,3/2)* J=1		66035.000	13	65388.96	Y
Si I	nd (3/2,3/2)* J=1		66035.000	14	65478.35	Y
Si I	nd (3/2,3/2)* J=1		66035.000	15	65549.05	Y
Si I	nd (3/2,3/2)* J=1		66035.000	16	65608.44	Y
Si I	nd (3/2,3/2)* J=1		66035.000	20	65761.36	Y
Si I	nd (3/2,3/2)* J=1		66035.000	21	65786.9	Y
Si I	nd (3/2,3/2)* J=1		66035.000	22	65808.8	Y
Si I	nd (3/2,3/2)* J=1		66035.000	23	65827.98	Y
Si I	nd (3/2,3/2)* J=1		66035.000	24	65844.5	Y
Si I	nd (3/2,3/2)* J=1		66035.000	25	65859.72	Y
Si I	nd (3/2,3/2)* J=1		66035.000	26	65872.83	Y
Si I	nd (3/2,3/2)* J=1		66035.000	27	65884.68	Y
Si I	nd (3/2,3/2)* J=1		66035.000	28	65894.14	Y
Si I	nd (3/2,3/2)* J=1		66035.000	29	65904.47	Y
Si I	nd (3/2,3/2)* J=1		66035.000	30	65913.13	Y
Si I	nd (3/2,3/2)* J=1		66035.000	31	65920.18	Y
Si I	nd (3/2,3/2)* J=1		66035.000	32	65927.5	Y
Si I	nd (3/2,3/2)* J=1		66035.000	33	65934.45	Y
Si I	nd (3/2,3/2)* J=1		66035.000	34	65939.96	Y
Si I	nd (3/2,3/2)* J=1		66035.000	35	65945.16	Y
Si I	nd (3/2,3/2)* J=1		66035.000	36	65950.26	Y
Si I	nd (3/2,3/2)* J=1		66035.000	37	65954.87	Y
Si I	nd (3/2,3/2)* J=1		66035.000	38	65959.06	Y
Si I	nd (3/2,3/2)* J=1		66035.000	39	65962.72	Y
Si I	nd (3/2,3/2)* J=1		66035.000	40	65966.17	Y
Si I	nd (3/2,3/2)* J=1		66035.000	41	65969.58	Y
Si I	nd (3/2,3/2)* J=1		66035.000	42	65972.64	Y
Si I	nd (3/2,3/2)* J=1		66035.000	43	65975.41	Y
Si I	nd (3/2,3/2)* J=1		66035.000	44	65978.19	Y
Si I	nd (3/2,3/2)* J=1		66035.000	45	65980.66	Y
Si I	nd (3/2,3/2)* J=1		66035.000	46	65983.38	Y
Si I	nd (3/2,3/2)* J=1		66035.000	47	65985.23	Y
Si I	nd (3/2,3/2)* J=1		66035.000	48	65987.41	Y
Si I	nd (3/2,3/2)* J=1		66035.000	49	65989.36	Y
Si I	nd (3/2,3/2)* J=1		66035.000	50	65991.07	Y
Si I	nd (3/2,5/2)* J=3		66035.000	8	64295.26	Y
Si I	nd (3/2,5/2)* J=3		66035.000	9	64662.04	Y
Si I	nd (3/2,5/2)* J=3		66035.000	10	64923.97	Y
Si I	nd (3/2,5/2)* J=3		66035.000	11	65117.65	Y
Si I	nd (3/2,5/2)* J=3		66035.000	12	65264.91	Y
Si I	nd (3/2,5/2)* J=3		66035.000	13	65379.19	Y
Si I	nd (3/2,5/2)* J=3		66035.000	14	65471.53	Y
Si I	nd (3/2,5/2)* J=3		66035.000	15	65543.02	Y
Si I	nd (3/2,5/2)* J=3		66035.000	16	65602.64	Y
Si I	nd (3/2,5/2)* J=3		66035.000	20	65758.86	Y
Si I	nd (3/2,5/2)* J=3		66035.000	21	65784.65	Y
Si I	nd (3/2,5/2)* J=3		66035.000	22	65806.94	Y
Si I	nd (3/2,5/2)* J=3		66035.000	23	65826.36	Y
Si I	nd (3/2,5/2)* J=3		66035.000	24	65843.45	Y
Si I	nd (3/2,5/2)* J=3		66035.000	25	65858.5	Y
Si I	nd (3/2,5/2)* J=3		66035.000	26	65871.88	Y
Si I	nd (3/2,5/2)* J=3		66035.000	27	65883.8	Y
Si I	nd (3/2,5/2)* J=3		66035.000	28	65894.52	Y
Si I	nd (3/2,5/2)* J=3		66035.000	29	65904.12	Y
Si I	nd (3/2,5/2)* J=3		66035.000	30	65912.6	Y
Si I	nd (3/2,5/2)* J=3		66035.000	31	65920.45	Y
Si I	nd (3/2,5/2)* J=3		66035.000	32	65927.37	Y
Si I	nd (3/2,5/2)* J=3		66035.000	33	65933.95	Y
Si I	nd (3/2,5/2)* J=3		66035.000	34	65939.75	Y
Si I	nd (3/2,5/2)* J=3		66035.000	35	65945.19	Y
Si I	nd (3/2,5/2)* J=3		66035.000	36	65950.17	Y
Si I	nd (3/2,5/2)* J=3		66035.000	37	65954.76	Y
Si I	nd (3/2,5/2)* J=3		66035.000	38	65958.8	Y
Si I	nd (3/2,5/2)* J=3		66035.000	39	65962.63	Y
Si I	nd (3/2,5/2)* J=3		66035.000	40	65966.22	Y
Si I	nd (3/2,5/2)* J=3		66035.000	41	65969.54	Y
Si I	nd (3/2,5/2)* J=3		66035.000	42	65972.57	Y
Si I	nd (3/2,5/2)* J=3		66035.000	43	65975.36	Y
Si I	nd (3/2,5/2)* J=3		66035.000	44	65978.19	Y
Si I	nd (3/2,5/2)* J=3		66035.000	45	65980.95	Y
Si I	nd (3/2,5/2)* J=3		66035.000	46	65982.98	Y
Si I	nd (3/2,5/2)* J=3		66035.000	47	65985.09	Y
Si I	nd (3/2,5/2)* J=3		66035.000	48	65987.29	Y
Si I	nd (3/2,5/2)* J=3		66035.000	49	65989.29	Y
Si I	nd (3/2,5/2)* J=3		66035.000	50	65990.87	Y
Si I	nd (3/2,5/2)* J=3		66035.000	51	65992.59	Y
Si I	nd (3/2,5/2)* J=3		66035.000	52	65994.3	Y
Si I	nd (3/2,5/2)* J=3		66035.000	53	65995.81	Y
Si I	nd (3/2,5/2)* J=3		66035.000	54	65997.34	Y
Si I	nd (3/2,5/2)* J=3		66035.000	55	65998.59	Y
Si I	nd (3/2,5/2)* J=3		66035.000	56	66000.05	Y
Si I	nd (3/2,3/2)* J=0		66035.000	8	64358.52	N
Si I	nd (3/2,3/2)* J=0		66035.000	9	64703.23	N
Si I	nd (3/2,3/2)* J=0		66035.000	10	64952.58	N
Si I	nd (3/2,3/2)* J=0		66035.000	11	65138.22	N
Si I	nd (3/2,3/2)* J=0		66035.000	12	65280.1	N
Si I	nd (3/2,3/2)* J=0		66035.000	13	65390.89	N
Si I	nd (3/2,3/2)* J=0		66035.000	14	65479.14	N
Si I	nd (3/2,3/2)* J=0		66035.000	15	65550.33	N
Si I	nd (3/2,3/2)* J=0		66035.000	16	65608.63	N
Si I	nd (3/2,5/2)* J=1		66035.000	8	64287.43	N
Si I	nd (3/2,5/2)* J=1		66035.000	9	64654.97	N
Si I	nd (3/2,5/2)* J=1		66035.000	10	64920.15	N
Si I	nd (3/2,5/2)* J=1		66035.000	11	65116.72	N
Si I	nd (3/2,5/2)* J=1		66035.000	12	65261.5	N
Si I	nd (3/2,5/2)* J=1		66035.000	13	65378.02	N
Si I	nd (3/2,5/2)* J=1		66035.000	14	65468.0	N
Si I	nd (3/2,5/2)* J=1		66035.000	15	65541.2	N
Si I	nd (3/2,5/2)* J=1		66035.000	16	65601.9	N
Zn I	nd 1D J=2		75769.310	12	74825.04	N
Zn I	nd 1D J=2		75769.310	13	74978.2	N
Zn I	nd 1D J=2		75769.310	14	75097.06	N
Zn I	nd 1D J=2		75769.310	15	75191.08	N
Zn I	nd 1D J=2		75769.310	16	75266.63	N
Zn I	nd 1D J=2		75769.310	17	75328.43	N
Zn I	nd 1D J=2		75769.310	18	75379.31	N
Zn I	nd 1D J=2		75769.310	19	75422.0	N
Zn I	nd 1D J=2		75769.310	20	75458.14	N
Zn I	np 1P* J=1		75769.310	13	74846.55	N
Zn I	np 1P* J=1		75769.310	14	74995.01	N
Zn I	np 1P* J=1		75769.310	15	75110.32	N
Zn I	np 1P* J=1		75769.310	16	75201.65	N
Zn I	np 1P* J=1		75769.310	17	75275.27	N
Zn I	np 1P* J=1		75769.310	18	75335.49	N
Zn I	np 1P* J=1		75769.310	19	75385.31	N
Zn I	np 1P* J=1		75769.310	20	75426.98	N
Zn I	np 1P* J=1		75769.310	21	75462.3	N
Zn I	np 1P* J=1		75769.310	22	75492.25	N
Zn I	np 1P* J=1		75769.310	23	75518.17	N
Zn I	np 1P* J=1		75769.310	24	75540.55	N
Zn I	np 1P* J=1		75769.310	25	75560.15	N
Zn I	np 1P* J=1		75769.310	26	75577.26	N
Zn I	np 1P* J=1		75769.310	27	75592.39	N
Zn I	np 1P* J=1		75769.310	28	75605.76	N
Zn I	np 1P* J=1		75769.310	29	75617.66	N
Zn I	np 1P* J=1		75769.310	30	75628.35	N
Zn I	np 1P* J=1		75769.310	31	75637.93	N
Zn I	np 1P* J=1		75769.310	32	75646.57	N
Zn I	np 1P* J=1		75769.310	33	75654.41	N
Zn I	np 1P* J=1		75769.310	34	75661.51	N
Zn I	np 1P* J=1		75769.310	35	75667.98	N
Zn I	np 1P* J=1		75769.310	36	75673.82	N
Zn I	np 1P* J=1		75769.310	37	75679.2	N
Zn I	np 1P* J=1		75769.310	38	75684.19	N
Zn I	np 1P* J=1		75769.310	39	75688.77	N
Zn I	np 1P* J=1		75769.310	40	75692.89	N

