# AME2020 Table I — the 2020 atomic mass table.
# Meng Wang, W.J. Huang, F.G. Kondev, G. Audi, S. Naimi,
# Chinese Physics C 45, 030003 (2021), Table I, pages 030003-6 to 030003-75.
# Extracted from the PDF supplied by M, pdftotext -layout, PDF pages 7-76.
#
# THIS IS THE PUBLISHED ROUNDED TABLE, not mass_1.mas20. AME rounds to a
# precision set by the uncertainty, so values differ from the ASCII file by
# up to ~0.1 sigma. Verified against the Argonne mass_1.mas20 text on the
# A = 9 chain: max deviation 4.174 keV on 9He, which is 0.089 sigma.
#
# A is RECOMPUTED as N + Z; the printed A is used only as a check and
# matched on every row where it appears (0 mismatches).
# quality: M = measured, E = estimated (# in the source).
# Z	N	A	symbol	mass_excess_keV	unc_keV	quality
10	5	15	Ne	40220.0	70.0	M
10	6	16	Ne	23987.0	20.0	M
10	7	17	Ne	16500.5	0.4	M
10	8	18	Ne	5317.6	0.4	M
10	9	19	Ne	1752.05	0.16	M
10	10	20	Ne	-7041.9322	0.0015	M
10	11	21	Ne	-5731.78	0.04	M
10	12	22	Ne	-8024.716	0.018	M
10	13	23	Ne	-5154.05	0.1	M
10	14	24	Ne	-5951.6	0.5	M
10	15	25	Ne	-2036.0	29.0	M
10	16	26	Ne	481.0	18.0	M
10	17	27	Ne	7050.0	90.0	M
10	18	28	Ne	11300.0	130.0	M
10	19	29	Ne	18400.0	150.0	M
10	20	30	Ne	23280.0	250.0	M
10	21	31	Ne	31180.0	270.0	M
10	22	32	Ne	37000.0	500.0	E
10	23	33	Ne	46130.0	600.0	E
10	24	34	Ne	52840.0	510.0	E
11	6	17	Na	34720.0	60.0	M
11	7	18	Na	25040.0	90.0	M
11	8	19	Na	12929.0	11.0	M
11	9	20	Na	6850.5	1.1	M
11	10	21	Na	-2184.86	0.04	M
11	11	22	Na	-5181.39	0.13	M
11	12	23	Na	-9529.8535	0.0018	M
11	13	24	Na	-8417.901	0.017	M
11	14	25	Na	-9357.8	1.2	M
11	15	26	Na	-6861.0	4.0	M
11	16	27	Na	-5518.0	4.0	M
11	17	28	Na	-988.0	10.0	M
11	18	29	Na	2680.0	7.0	M
11	19	30	Na	8475.0	5.0	M
11	20	31	Na	12246.0	14.0	M
11	21	32	Na	18640.0	40.0	M
11	22	33	Na	23780.0	450.0	M
11	23	34	Na	31680.0	600.0	M
11	24	35	Na	37830.0	670.0	E
11	25	36	Na	45900.0	690.0	E
11	26	37	Na	53130.0	690.0	E
11	27	38	Na	61910.0	720.0	E
11	28	39	Na	69980.0	740.0	E
12	7	19	Mg	31840.0	60.0	M
12	8	20	Mg	17477.7	1.9	M
12	9	21	Mg	10903.9	0.8	M
12	10	22	Mg	-399.99	0.16	M
12	11	23	Mg	-5473.67	0.03	M
12	12	24	Mg	-13933.578	0.013	M
12	13	25	Mg	-13192.78	0.05	M
12	14	26	Mg	-16214.544	0.029	M
12	15	27	Mg	-14586.59	0.05	M
12	16	28	Mg	-15019.95	0.26	M
12	17	29	Mg	-10612.4	0.3	M
12	18	30	Mg	-8881.4	1.3	M
12	19	31	Mg	-3122.0	3.0	M
12	20	32	Mg	-829.0	3.0	M
12	21	33	Mg	4962.9	2.7	M
12	22	34	Mg	8323.0	7.0	M
12	23	35	Mg	15640.0	270.0	M
12	24	36	Mg	20380.0	690.0	M
12	25	37	Mg	28210.0	700.0	M
12	26	38	Mg	34070.0	500.0	E
12	27	39	Mg	42780.0	510.0	E
12	28	40	Mg	49550.0	500.0	E
12	29	41	Mg	58100.0	500.0	E
13	8	21	Al	27090.0	600.0	E
13	9	22	Al	18200.0	400.0	E
13	10	23	Al	6748.1	0.3	M
13	11	24	Al	-48.81	0.23	M
13	12	25	Al	-8915.97	0.06	M
13	13	26	Al	-12210.14	0.07	M
13	14	27	Al	-17196.86	0.05	M
13	15	28	Al	-16850.72	0.05	M
13	16	29	Al	-18207.8	0.3	M
13	17	30	Al	-15864.1	1.9	M
13	18	31	Al	-14950.7	2.2	M
13	19	32	Al	-11099.0	7.0	M
13	20	33	Al	-8497.0	7.0	M
13	21	34	Al	-2997.6	2.1	M
13	22	35	Al	-224.0	7.0	M
13	23	36	Al	5950.0	150.0	M
13	24	37	Al	9810.0	180.0	M
13	25	38	Al	16470.0	150.0	E
13	26	39	Al	21490.0	300.0	E
13	27	40	Al	28820.0	300.0	E
13	28	41	Al	34590.0	400.0	E
13	29	42	Al	41990.0	500.0	E
13	30	43	Al	48270.0	600.0	E
14	8	22	Si	33640.0	500.0	E
14	9	23	Si	23950.0	500.0	E
14	10	24	Si	10745.0	19.0	M
14	11	25	Si	3827.0	10.0	M
14	12	26	Si	-7141.0	0.11	M
14	13	27	Si	-12384.51	0.11	M
14	14	28	Si	-21492.7971	0.0005	M
14	15	29	Si	-21895.0815	0.0006	M
14	16	30	Si	-24432.962	0.022	M
14	17	31	Si	-22949.04	0.04	M
14	18	32	Si	-24077.69	0.3	M
14	19	33	Si	-20514.3	0.7	M
14	20	34	Si	-19991.7	0.8	M
14	21	35	Si	-14390.0	40.0	M
14	22	36	Si	-12440.0	70.0	M
14	23	37	Si	-6570.0	110.0	M
14	24	38	Si	-4170.0	100.0	M
14	25	39	Si	2320.0	140.0	M
14	26	40	Si	5670.0	120.0	M
14	27	41	Si	13200.0	300.0	E
14	28	42	Si	16840.0	300.0	E
14	29	43	Si	24330.0	400.0	E
14	30	44	Si	29310.0	500.0	E
14	31	45	Si	37090.0	600.0	E
15	9	24	P	34020.0	500.0	E
15	10	25	P	20190.0	400.0	E
15	11	26	P	10970.0	200.0	E
15	12	27	P	-659.0	9.0	M
15	13	28	P	-7147.9	1.1	M
15	14	29	P	-16952.8	0.4	M
15	15	30	P	-20200.86	0.07	M
15	16	31	P	-24440.5444	0.0007	M
15	17	32	P	-24304.88	0.04	M
15	18	33	P	-26337.4	1.1	M
15	19	34	P	-24548.7	0.8	M
15	20	35	P	-24857.8	1.9	M
15	21	36	P	-20251.0	13.0	M
15	22	37	P	-19000.0	40.0	M
15	23	38	P	-14620.0	70.0	M
15	24	39	P	-12770.0	110.0	M
15	25	40	P	-8140.0	80.0	M
15	26	41	P	-4980.0	120.0	M
15	27	42	P	1090.0	100.0	M
15	28	43	P	5040.0	300.0	E
15	29	44	P	11110.0	400.0	E
15	30	45	P	15960.0	500.0	E
15	31	46	P	22840.0	500.0	E
15	32	47	P	28810.0	600.0	E
16	10	26	S	27680.0	600.0	E
16	11	27	S	17490.0	400.0	E
16	12	28	S	4070.0	160.0	M
16	13	29	S	-3094.0	13.0	M
16	14	30	S	-14059.25	0.21	M
16	15	31	S	-19042.53	0.23	M
16	16	32	S	-26015.5371	0.0013	M
16	17	33	S	-26585.8583	0.0013	M
16	18	34	S	-29931.69	0.04	M
16	19	35	S	-28846.21	0.04	M
16	20	36	S	-30664.14	0.19	M
16	21	37	S	-26896.43	0.2	M
16	22	38	S	-26861.0	7.0	M
16	23	39	S	-23160.0	50.0	M
16	24	40	S	-22838.0	4.0	M
16	25	41	S	-19009.0	4.0	M
16	26	42	S	-17637.7	2.8	M
16	27	43	S	-12195.0	5.0	M
16	28	44	S	-9204.0	5.0	M
16	29	45	S	-3340.0	300.0	E
16	30	46	S	640.0	400.0	E
16	31	47	S	7200.0	400.0	E
16	32	48	S	12390.0	500.0	E
16	33	49	S	20390.0	580.0	E
17	11	28	Cl	28270.0	500.0	E
17	12	29	Cl	14020.0	190.0	E
17	13	30	Cl	4675.0	24.0	M
17	14	31	Cl	-7035.0	3.0	M
17	15	32	Cl	-13334.7	0.6	M
17	16	33	Cl	-21003.3	0.4	M
17	17	34	Cl	-24440.09	0.05	M
17	18	35	Cl	-29013.53	0.04	M
17	19	36	Cl	-29522.01	0.04	M
17	20	37	Cl	-31761.55	0.05	M
17	21	38	Cl	-29798.12	0.1	M
17	22	39	Cl	-29800.2	1.7	M
17	23	40	Cl	-27560.0	30.0	M
17	24	41	Cl	-27310.0	70.0	M
17	25	42	Cl	-24830.0	60.0	M
17	26	43	Cl	-24160.0	60.0	M
17	27	44	Cl	-20480.0	90.0	M
17	28	45	Cl	-18260.0	140.0	M
17	29	46	Cl	-13730.0	100.0	M
17	30	47	Cl	-9580.0	200.0	E
17	31	48	Cl	-4280.0	500.0	E
