# AME2020 Table I — the 2020 atomic mass table.
# Meng Wang, W.J. Huang, F.G. Kondev, G. Audi, S. Naimi,
# Chinese Physics C 45, 030003 (2021), Table I, pages 030003-6 to 030003-75.
# Extracted from the PDF supplied by M, pdftotext -layout, PDF pages 7-76.
#
# THIS IS THE PUBLISHED ROUNDED TABLE, not mass_1.mas20. AME rounds to a
# precision set by the uncertainty, so values differ from the ASCII file by
# up to ~0.1 sigma. Verified against the Argonne mass_1.mas20 text on the
# A = 9 chain: max deviation 4.174 keV on 9He, which is 0.089 sigma.
#
# A is RECOMPUTED as N + Z; the printed A is used only as a check and
# matched on every row where it appears (0 mismatches).
# quality: M = measured, E = estimated (# in the source).
# Z	N	A	symbol	mass_excess_keV	unc_keV	quality
26	41	67	Fe	-45708.0	4.0	M
26	42	68	Fe	-43900.0	190.0	E
26	43	69	Fe	-39200.0	200.0	E
26	44	70	Fe	-36890.0	300.0	E
26	45	71	Fe	-31930.0	400.0	E
26	46	72	Fe	-29250.0	500.0	E
26	47	73	Fe	-23990.0	500.0	E
26	48	74	Fe	-20660.0	500.0	E
26	49	75	Fe	-14700.0	600.0	E
26	50	76	Fe	-10590.0	600.0	E
27	20	47	Co	10620.0	600.0	E
27	21	48	Co	1730.0	500.0	E
27	22	49	Co	-9780.0	500.0	E
27	23	50	Co	-17590.0	130.0	M
27	24	51	Co	-27340.0	50.0	M
27	25	52	Co	-34344.0	5.0	M
27	26	53	Co	-42659.4	1.7	M
27	27	54	Co	-48010.1	0.4	M
27	28	55	Co	-54030.0	0.4	M
27	29	56	Co	-56040.5	0.5	M
27	30	57	Co	-59345.7	0.5	M
27	31	58	Co	-59847.3	1.2	M
27	32	59	Co	-62229.8	0.4	M
27	33	60	Co	-61650.4	0.4	M
27	34	61	Co	-62898.2	0.8	M
27	35	62	Co	-61424.0	19.0	M
27	36	63	Co	-61852.0	19.0	M
27	37	64	Co	-59792.0	20.0	M
27	38	65	Co	-59185.2	2.1	M
27	39	66	Co	-56409.0	14.0	M
27	40	67	Co	-55322.0	6.0	M
27	41	68	Co	-51643.0	4.0	M
27	42	69	Co	-50390.0	90.0	M
27	43	70	Co	-46525.0	11.0	M
27	44	71	Co	-44370.0	470.0	M
27	45	72	Co	-40300.0	300.0	E
27	46	73	Co	-37970.0	300.0	E
27	47	74	Co	-33540.0	400.0	E
27	48	75	Co	-30560.0	400.0	E
27	49	76	Co	-25660.0	500.0	E
27	50	77	Co	-21910.0	600.0	E
27	51	78	Co	-15320.0	700.0	E
28	20	48	Ni	18180.0	420.0	E
28	21	49	Ni	8530.0	600.0	E
28	22	50	Ni	-3460.0	500.0	E
28	23	51	Ni	-11650.0	500.0	E
28	24	52	Ni	-22560.0	80.0	M
28	25	53	Ni	-29631.0	25.0	M
28	26	54	Ni	-39278.0	5.0	M
28	27	55	Ni	-45336.0	0.7	M
28	28	56	Ni	-53907.6	0.4	M
28	29	57	Ni	-56084.0	0.6	M
28	30	58	Ni	-60228.9	0.3	M
28	31	59	Ni	-61156.8	0.4	M
28	32	60	Ni	-64473.2	0.4	M
28	33	61	Ni	-64222.0	0.4	M
28	34	62	Ni	-66746.4	0.4	M
28	35	63	Ni	-65512.9	0.4	M
28	36	64	Ni	-67099.0	0.5	M
28	37	65	Ni	-65125.8	0.5	M
28	38	66	Ni	-66006.3	1.4	M
28	39	67	Ni	-63742.7	2.9	M
28	40	68	Ni	-63463.8	3.0	M
28	41	69	Ni	-59979.0	4.0	M
28	42	70	Ni	-59213.9	2.1	M
28	43	71	Ni	-55406.2	2.2	M
28	44	72	Ni	-54226.1	2.2	M
28	45	73	Ni	-50108.2	2.4	M
28	46	74	Ni	-48700.0	200.0	E
28	47	75	Ni	-44240.0	200.0	E
28	48	76	Ni	-42190.0	300.0	E
28	49	77	Ni	-37350.0	400.0	E
28	50	78	Ni	-34880.0	400.0	E
28	51	79	Ni	-28160.0	500.0	E
28	52	80	Ni	-23240.0	600.0	E
28	53	81	Ni	-16090.0	700.0	E
28	54	82	Ni	-10720.0	800.0	E
29	23	52	Cu	-1880.0	600.0	E
29	24	53	Cu	-13140.0	500.0	E
29	25	54	Cu	-21240.0	400.0	E
29	26	55	Cu	-31640.0	160.0	M
29	27	56	Cu	-38630.0	6.0	M
29	28	57	Cu	-47309.0	0.5	M
29	29	58	Cu	-51667.9	0.6	M
29	30	59	Cu	-56358.5	0.5	M
29	31	60	Cu	-58345.3	1.6	M
29	32	61	Cu	-61984.1	1.0	M
29	33	62	Cu	-62787.5	0.6	M
29	34	63	Cu	-65579.9	0.4	M
29	35	64	Cu	-65424.4	0.4	M
29	36	65	Cu	-67263.7	0.6	M
29	37	66	Cu	-66258.3	0.6	M
29	38	67	Cu	-67319.6	0.9	M
29	39	68	Cu	-65567.0	1.6	M
29	40	69	Cu	-65736.2	1.4	M
29	41	70	Cu	-62976.4	1.1	M
29	42	71	Cu	-62711.1	1.5	M
29	43	72	Cu	-59783.0	1.4	M
29	44	73	Cu	-58987.4	1.9	M
29	45	74	Cu	-56006.0	6.0	M
29	46	75	Cu	-54470.2	0.7	M
29	47	76	Cu	-50981.6	0.9	M
29	48	77	Cu	-48862.8	1.2	M
29	49	78	Cu	-44789.0	13.0	M
29	50	79	Cu	-42410.0	100.0	M
29	51	80	Cu	-36680.0	300.0	E
29	52	81	Cu	-31910.0	300.0	E
29	53	82	Cu	-25730.0	400.0	E
29	54	83	Cu	-20390.0	500.0	E
29	55	84	Cu	-13720.0	500.0	E
30	24	54	Zn	-5700.0	220.0	E
30	25	55	Zn	-14270.0	400.0	E
30	26	56	Zn	-25390.0	400.0	E
30	27	57	Zn	-32550.0	200.0	E
30	28	58	Zn	-42300.0	50.0	M
30	29	59	Zn	-47215.7	0.8	M
30	30	60	Zn	-54174.5	0.5	M
30	31	61	Zn	-56349.0	16.0	M
30	32	62	Zn	-61168.1	0.6	M
30	33	63	Zn	-62213.4	1.6	M
30	34	64	Zn	-66004.0	0.6	M
30	35	65	Zn	-65912.0	0.6	M
30	36	66	Zn	-68899.2	0.7	M
30	37	67	Zn	-67880.4	0.8	M
30	38	68	Zn	-70007.2	0.8	M
30	39	69	Zn	-68417.9	0.8	M
30	40	70	Zn	-69564.7	1.9	M
30	41	71	Zn	-67328.8	2.7	M
30	42	72	Zn	-68145.5	2.1	M
30	43	73	Zn	-65593.4	1.9	M
30	44	74	Zn	-65756.7	2.5	M
30	45	75	Zn	-62558.9	2.0	M
30	46	76	Zn	-62303.0	1.5	M
30	47	77	Zn	-58789.2	2.0	M
30	48	78	Zn	-57483.2	1.9	M
30	49	79	Zn	-53432.3	2.2	M
30	50	80	Zn	-51648.6	2.6	M
30	51	81	Zn	-46200.0	5.0	M
30	52	82	Zn	-42314.0	3.0	M
30	53	83	Zn	-36290.0	300.0	E
30	54	84	Zn	-31830.0	400.0	E
30	55	85	Zn	-25100.0	500.0	E
30	56	86	Zn	-20060.0	500.0	E
31	25	56	Ga	-3840.0	500.0	E
31	26	57	Ga	-15410.0	400.0	E
31	27	58	Ga	-23540.0	300.0	E
31	28	59	Ga	-33760.0	170.0	E
31	29	60	Ga	-39590.0	200.0	E
31	30	61	Ga	-47130.0	40.0	M
31	31	62	Ga	-51987.0	0.6	M
31	32	63	Ga	-56547.1	1.3	M
31	33	64	Ga	-58832.8	1.4	M
31	34	65	Ga	-62657.5	0.8	M
31	35	66	Ga	-63723.7	1.1	M
31	36	67	Ga	-66879.2	1.2	M
31	37	68	Ga	-67086.1	1.4	M
31	38	69	Ga	-69327.8	1.2	M
31	39	70	Ga	-68910.2	1.2	M
31	40	71	Ga	-70139.1	0.8	M
31	41	72	Ga	-68588.3	0.8	M
31	42	73	Ga	-69699.3	1.7	M
31	43	74	Ga	-68049.6	3.0	M
31	44	75	Ga	-68460.6	0.7	M
31	45	76	Ga	-66296.6	2.0	M
31	46	77	Ga	-65992.4	2.4	M
31	47	78	Ga	-63704.1	1.1	M
31	48	79	Ga	-62548.4	1.2	M
31	49	80	Ga	-59223.7	2.9	M
31	50	81	Ga	-57628.0	3.0	M
31	51	82	Ga	-52930.7	2.4	M
31	52	83	Ga	-49257.1	2.6	M
31	53	84	Ga	-44094.0	30.0	M
31	54	85	Ga	-39740.0	40.0	M
31	55	86	Ga	-33760.0	400.0	E
31	56	87	Ga	-28870.0	500.0	E
31	57	88	Ga	-22390.0	500.0	E
32	26	58	Ge	-7580.0	500.0	E
32	27	59	Ge	-16370.0	400.0	E
32	28	60	Ge	-27530.0	300.0	E
32	29	61	Ge	-33790.0	300.0	E
32	30	62	Ge	-42140.0	140.0	E
32	31	63	Ge	-46920.0	40.0	M
32	32	64	Ge	-54316.0	4.0	M
32	33	65	Ge	-56478.2	2.2	M
32	34	66	Ge	-61607.0	2.4	M
32	35	67	Ge	-62674.0	4.0	M
32	36	68	Ge	-66978.8	1.9	M
32	37	69	Ge	-67100.7	1.3	M
32	38	70	Ge	-70562.0	0.8	M
32	39	71	Ge	-69906.7	0.8	M
32	40	72	Ge	-72585.91	0.08	M
32	41	73	Ge	-71297.53	0.06	M
32	42	74	Ge	-73422.451	0.013	M
32	43	75	Ge	-71856.97	0.05	M
32	44	76	Ge	-73212.898	0.018	M
32	45	77	Ge	-71212.87	0.05	M
32	46	78	Ge	-71862.0	4.0	M
32	47	79	Ge	-69530.0	40.0	M
32	48	80	Ge	-69535.3	2.1	M
32	49	81	Ge	-66291.7	2.1	M
32	50	82	Ge	-65415.1	2.2	M
32	51	83	Ge	-60976.4	2.4	M
32	52	84	Ge	-58148.0	3.0	M
32	53	85	Ge	-53123.0	4.0	M
32	54	86	Ge	-49400.0	440.0	M
32	55	87	Ge	-43590.0	300.0	E
32	56	88	Ge	-39520.0	400.0	E
32	57	89	Ge	-33040.0	400.0	E
32	58	90	Ge	-28470.0	500.0	E
33	27	60	As	-5640.0	400.0	E
33	28	61	As	-17200.0	300.0	E
33	29	62	As	-24420.0	300.0	E
33	30	63	As	-33500.0	200.0	E
33	31	64	As	-39530.0	200.0	E
33	32	65	As	-46940.0	80.0	M
33	33	66	As	-52025.0	6.0	M
33	34	67	As	-56587.2	0.4	M
33	35	68	As	-58894.5	1.8	M
33	36	69	As	-63110.0	30.0	M
33	37	70	As	-64334.0	1.4	M
33	38	71	As	-67893.0	4.0	M
33	39	72	As	-68230.0	4.0	M
33	40	73	As	-70953.0	4.0	M
33	41	74	As	-70860.1	1.7	M
33	42	75	As	-73034.2	0.9	M
33	43	76	As	-72291.4	0.9	M
33	44	77	As	-73916.3	1.7	M
33	45	78	As	-72817.0	10.0	M
33	46	79	As	-73636.0	5.0	M
33	47	80	As	-72215.0	3.0	M
33	48	81	As	-72533.3	2.6	M
33	49	82	As	-70105.0	4.0	M
33	50	83	As	-69669.3	2.8	M
33	51	84	As	-65854.0	3.0	M
33	52	85	As	-63189.0	3.0	M
33	53	86	As	-58962.0	3.0	M
33	54	87	As	-55617.9	3.0	M
33	55	88	As	-50450.0	200.0	E
33	56	89	As	-46530.0	300.0	E
33	57	90	As	-40990.0	400.0	E
33	58	91	As	-36500.0	400.0	E
33	59	92	As	-30380.0	500.0	E
34	29	63	Se	-16850.0	500.0	E
34	30	64	Se	-26860.0	500.0	E
34	31	65	Se	-33020.0	300.0	E
34	32	66	Se	-41660.0	200.0	E
34	33	67	Se	-46580.0	70.0	M
34	34	68	Se	-54189.4	0.5	M
34	35	69	Se	-56434.7	1.5	M
34	36	70	Se	-61929.9	1.6	M
34	37	71	Se	-63146.5	2.8	M
34	38	72	Se	-67868.2	2.0	M
34	39	73	Se	-68227.0	7.0	M
34	40	74	Se	-72213.21	0.015	M
34	41	75	Se	-72169.49	0.07	M
34	42	76	Se	-75251.959	0.016	M
34	43	77	Se	-74599.5	0.06	M
34	44	78	Se	-77025.95	0.18	M
34	45	79	Se	-75917.47	0.22	M
34	46	80	Se	-77759.5	0.9	M
34	47	81	Se	-76389.0	1.0	M
34	48	82	Se	-77593.9	0.5	M
34	49	83	Se	-75341.0	3.0	M
34	50	84	Se	-75947.7	2.0	M
34	51	85	Se	-72413.6	2.6	M
34	52	86	Se	-70503.2	2.5	M
34	53	87	Se	-66426.1	2.2	M
34	54	88	Se	-63884.0	3.0	M
34	55	89	Se	-58992.0	4.0	M
34	56	90	Se	-55800.0	330.0	M
34	57	91	Se	-50580.0	430.0	M
34	58	92	Se	-46720.0	400.0	E
34	59	93	Se	-40860.0	400.0	E
34	60	94	Se	-36800.0	500.0	E
34	61	95	Se	-30460.0	500.0	E
35	30	65	Br	-16490.0	500.0	E
35	31	66	Br	-23570.0	400.0	E
35	32	67	Br	-32530.0	300.0	E
35	33	68	Br	-38790.0	260.0	E
35	34	69	Br	-46260.0	40.0	M
35	35	70	Br	-51426.0	15.0	M
35	36	71	Br	-56502.0	5.0	M
35	37	72	Br	-59061.8	1.0	M
35	38	73	Br	-63646.0	7.0	M
35	39	74	Br	-65288.0	6.0	M
35	40	75	Br	-69107.0	4.0	M
35	41	76	Br	-70289.0	9.0	M
35	42	77	Br	-73234.8	2.8	M
35	43	78	Br	-73452.0	4.0	M
35	44	79	Br	-76068.1	1.0	M
35	45	80	Br	-75889.0	1.0	M
35	46	81	Br	-77977.1	1.0	M
35	47	82	Br	-77498.7	1.0	M
35	48	83	Br	-79014.0	4.0	M
35	49	84	Br	-77783.0	26.0	M
35	50	85	Br	-78575.0	3.0	M
35	51	86	Br	-75632.0	3.0	M
35	52	87	Br	-73892.0	3.0	M
35	53	88	Br	-70716.0	3.0	M
35	54	89	Br	-68274.0	3.0	M
35	55	90	Br	-64000.0	3.0	M
35	56	91	Br	-61107.0	4.0	M
35	57	92	Br	-56233.0	7.0	M
35	58	93	Br	-52890.0	430.0	M
35	59	94	Br	-47650.0	200.0	E
35	60	95	Br	-43850.0	300.0	E
35	61	96	Br	-38210.0	300.0	E
35	62	97	Br	-34000.0	400.0	E
35	63	98	Br	-28050.0	400.0	E
36	31	67	Kr	-15550.0	420.0	E
36	32	68	Kr	-25630.0	500.0	E
36	33	69	Kr	-32140.0	300.0	E
36	34	70	Kr	-41100.0	200.0	E
36	35	71	Kr	-46330.0	130.0	M
36	36	72	Kr	-53941.0	8.0	M
36	37	73	Kr	-56552.0	7.0	M
36	38	74	Kr	-62331.8	2.0	M
36	39	75	Kr	-64324.0	8.0	M
36	40	76	Kr	-69014.0	4.0	M
36	41	77	Kr	-70169.5	2.0	M
36	42	78	Kr	-74178.3	0.3	M
36	43	79	Kr	-74442.0	3.0	M
36	44	80	Kr	-77893.5	0.7	M
36	45	81	Kr	-77696.2	1.1	M
36	46	82	Kr	-80591.795	0.006	M
36	47	83	Kr	-79990.643	0.009	M
36	48	84	Kr	-82439.345	0.004	M
36	49	85	Kr	-81480.3	2.0	M
36	50	86	Kr	-83265.676	0.004	M
36	51	87	Kr	-80709.53	0.25	M
36	52	88	Kr	-79691.3	2.6	M
36	53	89	Kr	-76535.8	2.1	M
36	54	90	Kr	-74959.3	1.9	M
36	55	91	Kr	-70974.0	2.2	M
36	56	92	Kr	-68769.3	2.7	M
36	57	93	Kr	-64136.0	2.5	M
36	58	94	Kr	-61348.0	12.0	M
36	59	95	Kr	-56159.0	19.0	M
36	60	96	Kr	-53082.0	19.0	M
36	61	97	Kr	-47420.0	130.0	M
36	62	98	Kr	-44120.0	300.0	E
36	63	99	Kr	-38400.0	400.0	E
36	64	100	Kr	-34470.0	400.0	E
36	65	101	Kr	-28580.0	500.0	E
37	34	71	Rb	-32290.0	400.0	E
37	35	72	Rb	-38330.0	500.0	E
37	36	73	Rb	-46010.0	40.0	M
37	37	74	Rb	-51916.0	3.0	M
37	38	75	Rb	-57218.7	1.2	M
37	39	76	Rb	-60479.1	0.9	M
37	40	77	Rb	-64830.5	1.3	M
37	41	78	Rb	-66935.0	3.0	M
37	42	79	Rb	-70802.8	1.9	M
37	43	80	Rb	-72175.5	1.9	M
37	44	81	Rb	-75457.0	5.0	M
37	45	82	Rb	-76188.0	3.0	M
37	46	83	Rb	-79070.6	2.3	M
37	47	84	Rb	-79759.0	2.2	M
37	48	85	Rb	-82167.341	0.005	M
37	49	86	Rb	-82747.0	0.2	M
37	50	87	Rb	-84597.802	0.006	M
37	51	88	Rb	-82609.0	0.16	M
37	52	89	Rb	-81712.0	5.0	M
37	53	90	Rb	-79366.0	6.0	M
37	54	91	Rb	-77745.0	8.0	M
37	55	92	Rb	-74772.0	6.0	M
37	56	93	Rb	-72620.0	8.0	M
37	57	94	Rb	-68562.8	2.0	M
37	58	95	Rb	-65890.0	20.0	M
37	59	96	Rb	-61354.0	3.0	M
37	60	97	Rb	-58519.1	1.9	M
37	61	98	Rb	-54369.0	16.0	M
37	62	99	Rb	-51121.0	4.0	M
37	63	100	Rb	-46266.0	13.0	M
37	64	101	Rb	-42567.0	20.0	M
37	65	102	Rb	-37250.0	80.0	M
37	66	103	Rb	-33160.0	400.0	E
37	67	104	Rb	-27450.0	500.0	E
38	35	73	Sr	-31950.0	400.0	E
38	36	74	Sr	-40830.0	100.0	E
38	37	75	Sr	-46620.0	220.0	M
38	38	76	Sr	-54250.0	30.0	M
38	39	77	Sr	-57803.0	8.0	M
38	40	78	Sr	-63174.0	7.0	M
38	41	79	Sr	-65480.0	7.0	M
38	42	80	Sr	-70311.0	3.0	M
38	43	81	Sr	-71528.0	3.0	M
38	44	82	Sr	-76010.0	6.0	M
38	45	83	Sr	-76798.0	7.0	M
38	46	84	Sr	-80649.6	1.2	M
38	47	85	Sr	-81103.3	2.8	M
38	48	86	Sr	-84523.1	0.005	M
38	49	87	Sr	-84880.076	0.005	M
38	50	88	Sr	-87921.629	0.006	M
38	51	89	Sr	-86209.03	0.09	M
38	52	90	Sr	-85950.9	1.4	M
38	53	91	Sr	-83652.0	5.0	M
38	54	92	Sr	-82867.0	3.0	M
38	55	93	Sr	-80086.0	8.0	M
38	56	94	Sr	-78845.7	1.7	M
38	57	95	Sr	-75117.0	6.0	M
38	58	96	Sr	-72918.0	8.0	M
38	59	97	Sr	-68581.0	3.0	M
38	60	98	Sr	-66422.0	3.0	M
38	61	99	Sr	-62519.0	5.0	M
38	62	100	Sr	-59818.0	7.0	M
38	63	101	Sr	-55325.0	8.0	M
38	64	102	Sr	-52160.0	70.0	M
38	65	103	Sr	-47280.0	200.0	E
38	66	104	Sr	-43760.0	300.0	E
38	67	105	Sr	-38190.0	500.0	E
38	68	106	Sr	-34300.0	600.0	E
38	69	107	Sr	-28250.0	700.0	E
39	36	75	Y	-31820.0	300.0	E
39	37	76	Y	-38250.0	300.0	E
39	38	77	Y	-46440.0	200.0	E
39	39	78	Y	-52170.0	300.0	E
39	40	79	Y	-57800.0	80.0	M
39	41	80	Y	-61148.0	6.0	M
39	42	81	Y	-65713.0	5.0	M
39	43	82	Y	-68064.0	5.0	M
39	44	83	Y	-72206.0	19.0	M
39	45	84	Y	-73894.0	4.0	M
39	46	85	Y	-77842.0	19.0	M
39	47	86	Y	-79283.0	14.0	M
39	48	87	Y	-83018.4	1.1	M
39	49	88	Y	-84299.0	1.5	M
39	50	89	Y	-87711.2	0.3	M
39	51	90	Y	-86496.9	0.4	M
39	52	91	Y	-86351.3	1.8	M
39	53	92	Y	-84816.0	9.0	M
39	54	93	Y	-84227.0	10.0	M
39	55	94	Y	-82351.0	6.0	M
39	56	95	Y	-81208.0	7.0	M
39	57	96	Y	-78330.0	6.0	M
39	58	97	Y	-76115.0	7.0	M
39	59	98	Y	-72289.0	8.0	M
39	60	99	Y	-70644.0	7.0	M
39	61	100	Y	-67321.0	11.0	M
39	62	101	Y	-65055.0	7.0	M
39	63	102	Y	-61173.0	4.0	M
39	64	103	Y	-58457.0	11.0	M
39	65	104	Y	-54080.0	200.0	E
39	66	105	Y	-50570.0	400.0	E
39	67	106	Y	-45790.0	500.0	E
39	68	107	Y	-41970.0	500.0	E
39	69	108	Y	-36780.0	600.0	E
39	70	109	Y	-32480.0	700.0	E
40	37	77	Zr	-31600.0	400.0	E
40	38	78	Zr	-40850.0	400.0	E
40	39	79	Zr	-46770.0	300.0	E
40	40	80	Zr	-54760.0	300.0	E
40	41	81	Zr	-57520.0	90.0	M
40	42	82	Zr	-63614.1	1.6	M
40	43	83	Zr	-65912.0	6.0	M
40	44	84	Zr	-71422.0	5.0	M
40	45	85	Zr	-73175.0	6.0	M
40	46	86	Zr	-77969.0	4.0	M
40	47	87	Zr	-79347.0	4.0	M
40	48	88	Zr	-83629.0	5.0	M
40	49	89	Zr	-84878.0	2.8	M
40	50	90	Zr	-88772.55	0.12	M
40	51	91	Zr	-87895.59	0.09	M
40	52	92	Zr	-88459.02	0.09	M
40	53	93	Zr	-87122.0	0.5	M
40	54	94	Zr	-87269.33	0.16	M
40	55	95	Zr	-85659.9	0.9	M
40	56	96	Zr	-85438.86	0.11	M
40	57	97	Zr	-82936.69	0.12	M
40	58	98	Zr	-81282.0	8.0	M
40	59	99	Zr	-77617.0	10.0	M
40	60	100	Zr	-76373.0	8.0	M
40	61	101	Zr	-73161.0	8.0	M
40	62	102	Zr	-71581.0	9.0	M
40	63	103	Zr	-67809.0	9.0	M
40	64	104	Zr	-65718.0	9.0	M
40	65	105	Zr	-61458.0	12.0	M
40	66	106	Zr	-58750.0	200.0	E
40	67	107	Zr	-54020.0	300.0	E
40	68	108	Zr	-50950.0	400.0	E
40	69	109	Zr	-45730.0	500.0	E
40	70	110	Zr	-42220.0	500.0	E
40	71	111	Zr	-36480.0	600.0	E
40	72	112	Zr	-32420.0	700.0	E
40	73	113	Zr	-26340.0	300.0	E
41	38	79	Nb	-31650.0	500.0	E
41	39	80	Nb	-38420.0	400.0	E
41	40	81	Nb	-46360.0	400.0	E
41	41	82	Nb	-51810.0	300.0	E
41	42	83	Nb	-57610.0	160.0	M
41	43	84	Nb	-61193.8	0.4	M
41	44	85	Nb	-66280.0	4.0	M
41	45	86	Nb	-69134.0	5.0	M
41	46	87	Nb	-73874.0	7.0	M
41	47	88	Nb	-76170.0	60.0	M
41	48	89	Nb	-80626.0	24.0	M
41	49	90	Nb	-82662.0	3.0	M
41	50	91	Nb	-86638.0	2.9	M
41	51	92	Nb	-86453.3	1.8	M
41	52	93	Nb	-87212.8	1.5	M
41	53	94	Nb	-86369.1	1.5	M
41	54	95	Nb	-86786.3	0.5	M
41	55	96	Nb	-85602.83	0.15	M
41	56	97	Nb	-85603.0	4.0	M
41	57	98	Nb	-83525.0	5.0	M
41	58	99	Nb	-82335.0	12.0	M
41	59	100	Nb	-79791.0	8.0	M
41	60	101	Nb	-78891.0	4.0	M
41	61	102	Nb	-76298.3	2.5	M
41	62	103	Nb	-75029.0	4.0	M
41	63	104	Nb	-71811.0	1.8	M
41	64	105	Nb	-69916.0	4.0	M
41	65	106	Nb	-66202.7	1.4	M
41	66	107	Nb	-63724.0	8.0	M
41	67	108	Nb	-59545.0	8.0	M
41	68	109	Nb	-56690.0	430.0	M
41	69	110	Nb	-52310.0	840.0	M
41	70	111	Nb	-48960.0	300.0	E
41	71	112	Nb	-44070.0	300.0	E
41	72	113	Nb	-40210.0	400.0	E
41	73	114	Nb	-34960.0	500.0	E
41	74	115	Nb	-30880.0	500.0	E
41	75	116	Nb	-25230.0	300.0	E
42	39	81	Mo	-31460.0	500.0	E
42	40	82	Mo	-40370.0	400.0	E
42	41	83	Mo	-46340.0	400.0	E
42	42	84	Mo	-54170.0	300.0	E
42	43	85	Mo	-57510.0	16.0	M
42	44	86	Mo	-64110.9	2.9	M
42	45	87	Mo	-66884.8	2.9	M
42	46	88	Mo	-72687.0	4.0	M
42	47	89	Mo	-75015.0	4.0	M
42	48	90	Mo	-80173.0	3.0	M
42	49	91	Mo	-82209.0	6.0	M
42	50	92	Mo	-86808.59	0.16	M
42	51	93	Mo	-86807.08	0.18	M
42	52	94	Mo	-88414.08	0.14	M
42	53	95	Mo	-87711.87	0.12	M
42	54	96	Mo	-88794.89	0.12	M
42	55	97	Mo	-87544.7	0.16	M
42	56	98	Mo	-88115.98	0.17	M
42	57	99	Mo	-85970.11	0.23	M
42	58	100	Mo	-86193.0	0.3	M
42	59	101	Mo	-83520.0	0.3	M
42	60	102	Mo	-83561.0	8.0	M
42	61	103	Mo	-80954.0	9.0	M
42	62	104	Mo	-80344.0	9.0	M
42	63	105	Mo	-77331.0	9.0	M
42	64	106	Mo	-76128.0	9.0	M
42	65	107	Mo	-72545.0	9.0	M
42	66	108	Mo	-70749.0	9.0	M
42	67	109	Mo	-66659.0	11.0	M
42	68	110	Mo	-64536.0	24.0	M
42	69	111	Mo	-59940.0	13.0	M
42	70	112	Mo	-57480.0	200.0	E
42	71	113	Mo	-52650.0	300.0	E
42	72	114	Mo	-49680.0	300.0	E
42	73	115	Mo	-44550.0	400.0	E
42	74	116	Mo	-41210.0	500.0	E
42	75	117	Mo	-35690.0	500.0	E
42	76	118	Mo	-32370.0	500.0	E
42	77	119	Mo	-26580.0	300.0	E
43	40	83	Tc	-31320.0	500.0	E
43	41	84	Tc	-37700.0	400.0	E
43	42	85	Tc	-45850.0	400.0	E
43	43	86	Tc	-51570.0	300.0	E
43	44	87	Tc	-57690.0	4.0	M
43	45	88	Tc	-61670.0	4.0	M
43	46	89	Tc	-67395.0	4.0	M
43	47	90	Tc	-70724.7	1.0	M
43	48	91	Tc	-75986.7	2.4	M
43	49	92	Tc	-78926.0	3.0	M
43	50	93	Tc	-83606.1	1.0	M
43	51	94	Tc	-84158.0	4.0	M
43	52	95	Tc	-86021.0	5.0	M
43	53	96	Tc	-85822.0	5.0	M
43	54	97	Tc	-87224.0	4.0	M
43	55	98	Tc	-86432.0	3.0	M
43	56	99	Tc	-87327.9	0.9	M
43	57	100	Tc	-86021.0	1.4	M
43	58	101	Tc	-86345.0	24.0	M
43	59	102	Tc	-84573.0	9.0	M
43	60	103	Tc	-84604.0	10.0	M
43	61	104	Tc	-82499.0	25.0	M
43	62	105	Tc	-82290.0	40.0	M
43	63	106	Tc	-79776.0	12.0	M
43	64	107	Tc	-78750.0	9.0	M
43	65	108	Tc	-75923.0	9.0	M
43	66	109	Tc	-74283.0	10.0	M
43	67	110	Tc	-71035.0	9.0	M
43	68	111	Tc	-69025.0	11.0	M
43	69	112	Tc	-65259.0	6.0	M
43	70	113	Tc	-62812.0	3.0	M
43	71	114	Tc	-58600.0	430.0	M
43	72	115	Tc	-55800.0	200.0	E
43	73	116	Tc	-51210.0	300.0	E
43	74	117	Tc	-48140.0	400.0	E
43	75	118	Tc	-43290.0	400.0	E
43	76	119	Tc	-40170.0	500.0	E
43	77	120	Tc	-35000.0	500.0	E
43	78	121	Tc	-31540.0	500.0	E
43	79	122	Tc	-26310.0	300.0	E
44	41	85	Ru	-30630.0	500.0	E
44	42	86	Ru	-39770.0	400.0	E
44	43	87	Ru	-45730.0	400.0	E
44	44	88	Ru	-54340.0	300.0	E
44	45	89	Ru	-58369.0	24.0	M
44	46	90	Ru	-64884.0	4.0	M
44	47	91	Ru	-68239.8	2.2	M
44	48	92	Ru	-74301.2	2.7	M
44	49	93	Ru	-77216.7	2.1	M
44	50	94	Ru	-82584.0	3.0	M
44	51	95	Ru	-83458.0	10.0	M
44	52	96	Ru	-86080.39	0.17	M
44	53	97	Ru	-86120.6	2.8	M
44	54	98	Ru	-88225.0	6.0	M
44	55	99	Ru	-87625.4	0.3	M
44	56	100	Ru	-89227.4	0.3	M
44	57	101	Ru	-87958.1	0.4	M
44	58	102	Ru	-89106.4	0.4	M
44	59	103	Ru	-87267.2	0.4	M
44	60	104	Ru	-88095.8	2.5	M
44	61	105	Ru	-85934.5	2.5	M
44	62	106	Ru	-86323.0	5.0	M
44	63	107	Ru	-83863.0	9.0	M
44	64	108	Ru	-83661.0	9.0	M
44	65	109	Ru	-80738.0	9.0	M
44	66	110	Ru	-80073.0	9.0	M
