# NIST X-ray Transition Energies, SRD 128 v1.2 (2005). Deslattes et al.,
# Rev. Mod. Phys. 75, 35-99 (2003). Transition L1N3 (Lgamma3). Units eV.
# Fetched 2026-08-11, URL supplied by M; destination_url and body header
# both verified as L1N3 before writing. Blank source fields written '-'.
# element	A	theory	theory_unc	direct	direct_unc
As	1529.68	0.76	-	-
Se	1651.62	0.88	-	-
Br	1778.79	0.97	-	-
Kr	1911.5	1.2	-	-
Rb	2051.4	1.2	2050.72	0.15
Sr	2197.1	1.0	2196.52	0.17
Y	2348.2	1.1	2346.82	0.20
Zr	2504.4	1.2	2502.87	0.22
Nb	2665.4	1.3	2663.88	0.17
Mo	2832.2	1.3	2830.65	0.19
Tc	3002.2	1.4	-	-
Ru	3182.5	1.5	3180.91	0.24
Rh	3366.3	1.6	3364.06	0.27
Pd	3554.5	3.0	3553.32	0.30
Ag	3748.3	2.6	3749.82	0.15
Cd	3949.0	2.2	-	-
In	4157.4	2.2	4160.48	0.41
Sn	4372.6	2.3	4376.83	0.46
Sb	4594.0	2.4	4599.95	0.51
Te	4822.8	2.7	4829.10	0.56
I	5059.5	3.0	5065.67	0.61
Xe	5294.8	9.8	5306.71	0.20
Cs	5552.5	4.3	5552.77	0.74
Ba	5810.4	1.7	5810.11	0.20
La	6072.4	1.7	6075.32	0.29
Ce	6341.2	1.7	6342.00	0.59
Pr	6617.0	1.7	6615.9	2.1
Nd	6899.8	1.7	6900.44	0.34
Pm	7189.3	1.7	-	-
Sm	7487.1	1.8	7486.82	0.20
Eu	7791.0	1.8	7794.11	0.81
Gd	8104.0	1.7	8105.0	1.6
Tb	8422.7	1.8	8423.9	1.7
Dy	8738.9	1.4	8753.34	0.64
Ho	9086.5	1.8	9087.6	2.0
Er	9430.3	1.8	9431.2	1.1
Tm	9782.2	1.8	9779.3	2.3
Yb	10142.0	1.8	10143.20	0.61
Lu	10512.0	1.9	10511.16	0.53
Hf	10890.5	1.9	10890.83	0.71
Ta	11294.2	1.9	11277.68	0.61
W	11676.1	1.9	11680.49	0.73
Re	12081.9	1.9	12082.5	1.2
Os	12498.4	1.9	12499.98	0.93
Ir	12919.9	2.0	12924.11	1.00
Pt	13361.7	1.8	13361.5	1.1
Au	13805.4	2.0	13809.1	1.1
Hg	14267.2	1.9	14264.8	1.7
Tl	14736.2	3.8	14737.0	1.0
Pb	15216.9	3.9	15218.2	2.8
Bi	15708.4	3.8	15710.5	1.5
Po	16212.9	3.8	-	-
At	16729.1	3.8	-	-
Rn	17257.8	3.9	-	-
Fr	17799.3	3.9	-	-
Ra	18353.9	3.8	18357.4	2.0
Ac	18922.8	3.8	-	-
Th	19504.3	3.9	19503.445	0.060
Pa	20112.6	3.9	20097.6	4.8
U	20714.1	3.9	20712.95	0.46
Np	21341.2	3.9	21338	16
Pu	21984.4	3.9	21982.64	0.52
Am	22643.6	4.0	22642.2	3.1
Cf	24738.3	4.2	24745	72
Fm	26208.5	4.3	26202	12
