species	designation	source_cut	core_prefix	limit_cm1	n	E_cm1
Si I	ns (1/2,1/2)* J=1	SiI_ns12.tsv		65747.760	14	65002.16
Si I	ns (1/2,1/2)* J=1	SiI_ns12.tsv		65747.760	15	65108.74
Si I	ns (1/2,1/2)* J=1	SiI_ns12.tsv		65747.760	16	65197.98
Si I	ns (1/2,1/2)* J=1	SiI_ns12.tsv		65747.760	17	65268.8
Si I	ns (1/2,1/2)* J=1	SiI_ns12.tsv		65747.760	18	65325.82
Si I	ns (1/2,1/2)* J=1	SiI_ns12.tsv		65747.760	19	65372.8
Si I	ns (1/2,1/2)* J=1	SiI_ns12.tsv		65747.760	20	65414.0
Si I	ns (1/2,1/2)* J=1	SiI_ns12.tsv		65747.760	21	65447.6
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	9	64393.66
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	10	64635.82
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	11	64832.7
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	12	64982.42
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	13	65092.05
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	14	65184.24
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	15	65255.31
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	16	65316.57
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	17	65365.05
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	18	65407.72
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	19	65441.93
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	20	65472.0
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	21	65497.91
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	22	65519.93
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	23	65539.72
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	24	65555.69
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	25	65571.35
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	26	65584.8
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	27	65596.21
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	28	65608.44
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	29	65616.3
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	30	65625.2
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	31	65633.15
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	32	65640.16
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	33	65646.6
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	34	65652.4
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	35	65658.0
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	37	65667.26
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	38	65671.4
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	39	65675.3
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	40	65678.99
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	41	65682.2
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	43	65688.15
Si I	nd (1/2,3/2)* J=1	SiI_nd12b.tsv		65747.760	44	65690.9
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	20	65761.36
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	21	65786.9
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	22	65808.8
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	23	65827.98
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	24	65844.5
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	25	65859.72
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	26	65872.83
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	27	65884.68
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	28	65894.14
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	29	65904.47
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	30	65913.13
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	31	65920.18
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	32	65927.5
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	33	65934.45
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	34	65939.96
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	35	65945.16
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	36	65950.26
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	37	65954.87
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	38	65959.06
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	39	65962.72
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	40	65966.17
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	41	65969.58
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	42	65972.64
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	43	65975.41
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	44	65978.19
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	45	65980.66
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	46	65983.38
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	47	65985.23
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	48	65987.41
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	49	65989.36
Si I	nd (3/2,3/2)* J=1	SiI_ryd.tsv		66035.000	50	65991.07
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	20	65758.86
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	21	65784.65
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	22	65806.94
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	23	65826.36
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	24	65843.45
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	25	65858.5
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	26	65871.88
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	27	65883.8
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	28	65894.52
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	29	65904.12
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	30	65912.6
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	31	65920.45
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	32	65927.37
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	33	65933.95
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	34	65939.75
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	35	65945.19
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	36	65950.17
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	37	65954.76
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	38	65958.8
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	39	65962.63
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	40	65966.22
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	41	65969.54
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	42	65972.57
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	43	65975.36
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	44	65978.19
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	45	65980.95
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	46	65982.98
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	47	65985.09
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	48	65987.29
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	49	65989.29
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	50	65990.87
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	51	65992.59
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	52	65994.3
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	53	65995.81
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	54	65997.34
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	55	65998.59
Si I	nd (3/2,5/2)* J=3	SiI_ryd.tsv		66035.000	56	66000.05
Si I	nd (3/2,3/2)* J=0	SiI_nd32low.tsv		66035.000	8	64358.52
Si I	nd (3/2,3/2)* J=0	SiI_nd32low.tsv		66035.000	9	64703.23
Si I	nd (3/2,3/2)* J=0	SiI_nd32low.tsv		66035.000	10	64952.58
Si I	nd (3/2,3/2)* J=0	SiI_nd32low.tsv		66035.000	11	65138.22
Si I	nd (3/2,3/2)* J=0	SiI_nd32low.tsv		66035.000	12	65280.1
Si I	nd (3/2,3/2)* J=0	SiI_nd32low.tsv		66035.000	13	65390.89
Si I	nd (3/2,3/2)* J=0	SiI_nd32low.tsv		66035.000	14	65479.14
Si I	nd (3/2,3/2)* J=0	SiI_nd32low.tsv		66035.000	15	65550.33
Si I	nd (3/2,3/2)* J=0	SiI_nd32low.tsv		66035.000	16	65608.63
Si I	nd (3/2,5/2)* J=1	SiI_nd32low.tsv		66035.000	8	64287.43
Si I	nd (3/2,5/2)* J=1	SiI_nd32low.tsv		66035.000	9	64654.97
Si I	nd (3/2,5/2)* J=1	SiI_nd32low.tsv		66035.000	10	64920.15
Si I	nd (3/2,5/2)* J=1	SiI_nd32low.tsv		66035.000	11	65116.72
Si I	nd (3/2,5/2)* J=1	SiI_nd32low.tsv		66035.000	12	65261.5
Si I	nd (3/2,5/2)* J=1	SiI_nd32low.tsv		66035.000	13	65378.02
Si I	nd (3/2,5/2)* J=1	SiI_nd32low.tsv		66035.000	14	65468.0
Si I	nd (3/2,5/2)* J=1	SiI_nd32low.tsv		66035.000	15	65541.2
Si I	nd (3/2,5/2)* J=1	SiI_nd32low.tsv		66035.000	16	65601.9
Zn I	nd 1D J=2	ZnI_ryd.tsv		75769.310	12	74825.04
Zn I	nd 1D J=2	ZnI_ryd.tsv		75769.310	13	74978.2
Zn I	nd 1D J=2	ZnI_ryd.tsv		75769.310	14	75097.06
Zn I	nd 1D J=2	ZnI_ryd.tsv		75769.310	15	75191.08
Zn I	nd 1D J=2	ZnI_ryd.tsv		75769.310	16	75266.63
Zn I	nd 1D J=2	ZnI_ryd.tsv		75769.310	17	75328.43
Zn I	nd 1D J=2	ZnI_ryd.tsv		75769.310	18	75379.31
Zn I	nd 1D J=2	ZnI_ryd.tsv		75769.310	19	75422.0
Zn I	nd 1D J=2	ZnI_ryd.tsv		75769.310	20	75458.14
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	13	74846.55
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	14	74995.01
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	15	75110.32
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	16	75201.65
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	17	75275.27
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	18	75335.49
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	19	75385.31
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	20	75426.98
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	21	75462.3
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	22	75492.25
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	23	75518.17
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	24	75540.55
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	25	75560.15
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	26	75577.26
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	27	75592.39
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	28	75605.76
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	29	75617.66
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	30	75628.35
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	31	75637.93
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	32	75646.57
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	33	75654.41
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	34	75661.51
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	35	75667.98
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	36	75673.82
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	37	75679.2
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	38	75684.19
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	39	75688.77
Zn I	np 1P* J=1	ZnI_ryd.tsv		75769.310	40	75692.89

