# Sr II — NIST ASD, ref L3465/L9487/L13983 · Z=38, 37 electrons, Kr core · limit 88965.18
5s	2S	0.5	0.00
4d	2D	1.5	14555.90
5p	2P	0.5	23715.19
6s	2S	0.5	47736.53
5d	2D	1.5	53286.31
6p	2P	0.5	55769.7
4f	2F	3.5	60990.04
7s	2S	0.5	64964.10
6d	2D	1.5	67522.87
7p	2P	0.5	68679.34
5f	2F	2.5	71065.8
5g	2G	3.5	71357.8
8s	2S	0.5	73237.1
7d	2D	1.5	74621.3
6f	2F	2.5	76553.4
6g	2G	4.5	76737.7
9s	2S	0.5	77857.6
8d	2D	1.5	78688.8
7f	2F	3.5	79861.3
7g	2G	4.5	79984.3
10s	2S	0.5	80701.8
9d	2D	1.5	81240.2
8f	2F	3.5	82005.9
8g	2G	4.5	82090.4
11s	2S	0.5	82576.1
10d	2D	2.5	82951.5
9f	2F	3.5	83472.7
12s	2S	0.5	83879.9
11d	2D	1.5	84142.0
10f	2F	3.5	84521.0
10g	2G	4.5	84567.0
13s	2S	0.5	84819.1
12d	2D	1.5	85015.5
11f	2F	2.5	85294.8
11g	2G	3.5	85330.3
13d	2D	1.5	85668.8
12f	2F	2.5	85883.9
14d	2D	1.5	86174.6
