# Li III — NIST ASD 5.12, Yerokhin & Shabaev 2015 / Erickson 1977, 7Li · 149 levels
# THEORETICAL values (parenthesised in ASD), scaled to CODATA-2018
# limit = Z^2 R = 9 x 109737.31568 = 987635.841 cm-1 (hydrogenic, Z=3)
# sigma: n=2 are excitation energies from the ground state; above, separations from the limit
config	term	J	level_cm1
1s	2S	1/2	0.0000
2s	2S	1/2	740736.4339
2p	2P*	1/2	740734.34169
2p	2P*	3/2	740764.0001941
3s	2S	1/2	877919.74441
3p	2P*	1/2	877919.12067
3p	2P*	3/2	877927.908420
3d	2D	3/2	877927.8939309
3d	2D	5/2	877930.8225495
4s	2S	1/2	925932.85143
4p	2P*	1/2	925932.587659
4p	2P*	3/2	925936.294951
4d	2D	3/2	925936.28876
4d	2D	5/2	925937.52429
4f	2F*	5/2	925937.52206
4f	2F*	7/2	925938.13979
5s	2S	1/2	948155.58428
5p	2P*	1/2	948155.449056
5p	2P*	3/2	948157.347169
5d	2D	3/2	948157.34398
5d	2D	5/2	948157.97656
5f	2F*	5/2	948157.97542
5f	2F*	7/2	948158.29169
5g	2G	7/2	948158.291096
5g	2G	9/2	948158.480859
6s	2S	1/2	960226.990320
6p	2P*	1/2	960226.912020
6p	2P*	3/2	960228.010455
6d	2D	3/2	960228.00859
6d	2D	5/2	960228.37467
6f	2F*	5/2	960228.374000
6f	2F*	7/2	960228.557040
6g	2G	7/2	960228.556687
6g	2G	9/2	960228.666503
6h	2H*	9/2	960228.6662880
6h	2H*	11/2	960228.7394990
7s	2S	1/2	967505.573386
7p	2P*	1/2	967505.524056
7p	2P*	3/2	967506.215777
7d	2D	3/2	967506.214590
7d	2D	5/2	967506.445120
7f	2F*	5/2	967506.444700
7f	2F*	7/2	967506.559960
7g	2G	7/2	967506.559750
7g	2G	9/2	967506.628906
7h	2H*	9/2	967506.6287700
7h	2H*	11/2	967506.6748730
7i	2I	11/2	967506.6747801
7i	2I	13/2	967506.7077110
8s	2S	1/2	972229.605742
8p	2P*	1/2	972229.572685
8p	2P*	3/2	972230.036081
8d	2D	3/2	972230.035286
8d	2D	5/2	972230.189726
8f	2F*	5/2	972230.189443
8f	2F*	7/2	972230.266659
8g	2G	7/2	972230.266512
8g	2G	9/2	972230.312841
8h	2H*	9/2	972230.3127500
8h	2H*	11/2	972230.3436350
8i	2I	11/2	972230.3435728
8i	2I	13/2	972230.3656340
8k	2K*	13/2	972230.3655889
8k	2K*	15/2	972230.3821347
9s	2S	1/2	975468.360353
9p	2P*	1/2	975468.337131
9p	2P*	3/2	975468.662587
9d	2D	3/2	975468.662027
9d	2D	5/2	975468.770495
9f	2F*	5/2	975468.770296
9f	2F*	7/2	975468.824527
9g	2G	7/2	975468.824424
9g	2G	9/2	975468.856962
9h	2H*	9/2	975468.8568980
9h	2H*	11/2	975468.8785900
9i	2I	11/2	975468.8785464
9i	2I	13/2	975468.8940407
9k	2K*	13/2	975468.8940090
9k	2K*	15/2	975468.9056296
9l	2L	15/2	975468.90560558
9l	2L	17/2	975468.91464382
10p	2P*	1/2	977784.990076
10p	2P*	3/2	977785.227332
