sg	system	bravais	pg_order	k	star	little_order	m	nontrivial_multiplier	n_smallreps	dims	max_dim	sticking
72	orthorhombic	oI	8	1/2,1/2,1/2	2	4	2	1	1	2	2	1
73	orthorhombic	oI	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
73	orthorhombic	oI	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
73	orthorhombic	oI	8	0/1,1/2,1/2	2	4	2	1	1	2	2	1
73	orthorhombic	oI	8	1/2,0/1,1/2	2	4	2	1	1	2	2	1
73	orthorhombic	oI	8	1/2,0/1,3/4	2	4	2	1	1	2	2	1
73	orthorhombic	oI	8	1/2,1/2,1/2	2	4	2	1	1	2	2	1
74	orthorhombic	oI	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
74	orthorhombic	oI	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
74	orthorhombic	oI	8	0/1,1/2,1/2	2	4	1	0	4	1+1+1+1	1	0
74	orthorhombic	oI	8	1/2,0/1,1/2	2	4	2	1	1	2	2	1
74	orthorhombic	oI	8	1/2,0/1,3/4	2	4	2	1	1	2	2	1
74	orthorhombic	oI	8	1/2,1/2,1/2	2	4	1	0	4	1+1+1+1	1	0
81	tetragonal	tP	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
81	tetragonal	tP	4	0/1,0/1,1/2	1	4	1	0	4	1+1+1+1	1	0
81	tetragonal	tP	4	1/2,1/2,0/1	1	4	1	0	4	1+1+1+1	1	0
81	tetragonal	tP	4	1/2,1/2,1/2	1	4	1	0	4	1+1+1+1	1	0
82	tetragonal	tI	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
82	tetragonal	tI	4	0/1,0/1,1/2	1	4	1	0	4	1+1+1+1	1	0
82	tetragonal	tI	4	1/2,0/1,1/4	1	4	1	0	4	1+1+1+1	1	0
82	tetragonal	tI	4	1/2,0/1,3/4	1	4	1	0	4	1+1+1+1	1	0
83	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
83	tetragonal	tP	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
83	tetragonal	tP	8	1/2,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
83	tetragonal	tP	8	1/2,1/2,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
83	tetragonal	tP	8	0/1,1/2,0/1	2	4	1	0	4	1+1+1+1	1	0
83	tetragonal	tP	8	1/2,0/1,1/2	2	4	1	0	4	1+1+1+1	1	0
84	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
84	tetragonal	tP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
84	tetragonal	tP	8	1/2,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
84	tetragonal	tP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
84	tetragonal	tP	8	0/1,1/2,0/1	2	4	1	0	4	1+1+1+1	1	0
84	tetragonal	tP	8	1/2,0/1,1/2	2	4	1	0	4	1+1+1+1	1	0
85	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
85	tetragonal	tP	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
85	tetragonal	tP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
85	tetragonal	tP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
85	tetragonal	tP	8	0/1,1/2,0/1	2	4	2	1	1	2	2	1
85	tetragonal	tP	8	1/2,0/1,1/2	2	4	2	1	1	2	2	1
86	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
86	tetragonal	tP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
86	tetragonal	tP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
86	tetragonal	tP	8	1/2,1/2,1/2	1	8	2	0	8	1+1+1+1+1+1+1+1	1	0
86	tetragonal	tP	8	0/1,1/2,0/1	2	4	2	1	1	2	2	1
86	tetragonal	tP	8	1/2,0/1,1/2	2	4	2	1	1	2	2	1
87	tetragonal	tI	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
87	tetragonal	tI	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
87	tetragonal	tI	8	1/2,0/1,1/2	2	4	1	0	4	1+1+1+1	1	0
87	tetragonal	tI	8	1/2,0/1,3/4	2	4	1	0	4	1+1+1+1	1	0
87	tetragonal	tI	8	1/2,1/2,1/2	4	2	1	0	2	1+1	1	0
88	tetragonal	tI	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
88	tetragonal	tI	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
88	tetragonal	tI	8	1/2,0/1,1/2	2	4	2	1	1	2	2	1
88	tetragonal	tI	8	1/2,0/1,3/4	2	4	1	0	4	1+1+1+1	1	0
88	tetragonal	tI	8	1/2,1/2,1/2	4	2	4	0	2	1+1	1	0
89	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
89	tetragonal	tP	8	0/1,0/1,1/2	1	8	1	0	5	1+1+1+1+2	2	0
89	tetragonal	tP	8	1/2,1/2,0/1	1	8	1	0	5	1+1+1+1+2	2	0
89	tetragonal	tP	8	1/2,1/2,1/2	1	8	1	0	5	1+1+1+1+2	2	0
89	tetragonal	tP	8	0/1,1/2,1/2	2	4	1	0	4	1+1+1+1	1	0
89	tetragonal	tP	8	1/2,0/1,0/1	2	4	1	0	4	1+1+1+1	1	0
90	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
90	tetragonal	tP	8	0/1,0/1,1/2	1	8	1	0	5	1+1+1+1+2	2	0
90	tetragonal	tP	8	1/2,1/2,0/1	1	8	2	0	5	1+1+1+1+2	2	0
90	tetragonal	tP	8	1/2,1/2,1/2	1	8	2	0	5	1+1+1+1+2	2	0
90	tetragonal	tP	8	0/1,1/2,1/2	2	4	2	1	1	2	2	1
90	tetragonal	tP	8	1/2,0/1,0/1	2	4	2	1	1	2	2	1
91	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
91	tetragonal	tP	8	0/1,0/1,1/2	1	8	4	1	2	2+2	2	1
91	tetragonal	tP	8	1/2,1/2,0/1	1	8	1	0	5	1+1+1+1+2	2	0
91	tetragonal	tP	8	1/2,1/2,1/2	1	8	4	1	2	2+2	2	1
91	tetragonal	tP	8	0/1,1/2,1/2	2	4	2	1	1	2	2	1
91	tetragonal	tP	8	1/2,0/1,0/1	2	4	1	0	4	1+1+1+1	1	0
92	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
92	tetragonal	tP	8	0/1,0/1,1/2	1	8	4	1	2	2+2	2	1
92	tetragonal	tP	8	1/2,1/2,0/1	1	8	2	0	5	1+1+1+1+2	2	0
92	tetragonal	tP	8	1/2,1/2,1/2	1	8	4	1	2	2+2	2	1
92	tetragonal	tP	8	0/1,1/2,1/2	2	4	4	0	4	1+1+1+1	1	0
92	tetragonal	tP	8	1/2,0/1,0/1	2	4	2	1	1	2	2	1
93	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
93	tetragonal	tP	8	0/1,0/1,1/2	1	8	2	0	5	1+1+1+1+2	2	0
93	tetragonal	tP	8	1/2,1/2,0/1	1	8	1	0	5	1+1+1+1+2	2	0
93	tetragonal	tP	8	1/2,1/2,1/2	1	8	2	0	5	1+1+1+1+2	2	0
93	tetragonal	tP	8	0/1,1/2,1/2	2	4	1	0	4	1+1+1+1	1	0
93	tetragonal	tP	8	1/2,0/1,0/1	2	4	1	0	4	1+1+1+1	1	0
94	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
94	tetragonal	tP	8	0/1,0/1,1/2	1	8	2	0	5	1+1+1+1+2	2	0
94	tetragonal	tP	8	1/2,1/2,0/1	1	8	2	0	5	1+1+1+1+2	2	0
94	tetragonal	tP	8	1/2,1/2,1/2	1	8	2	0	5	1+1+1+1+2	2	0
94	tetragonal	tP	8	0/1,1/2,1/2	2	4	2	1	1	2	2	1
94	tetragonal	tP	8	1/2,0/1,0/1	2	4	2	1	1	2	2	1
95	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
95	tetragonal	tP	8	0/1,0/1,1/2	1	8	4	1	2	2+2	2	1
95	tetragonal	tP	8	1/2,1/2,0/1	1	8	1	0	5	1+1+1+1+2	2	0
95	tetragonal	tP	8	1/2,1/2,1/2	1	8	4	1	2	2+2	2	1
95	tetragonal	tP	8	0/1,1/2,1/2	2	4	2	1	1	2	2	1
95	tetragonal	tP	8	1/2,0/1,0/1	2	4	1	0	4	1+1+1+1	1	0
96	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
96	tetragonal	tP	8	0/1,0/1,1/2	1	8	4	1	2	2+2	2	1
96	tetragonal	tP	8	1/2,1/2,0/1	1	8	2	0	5	1+1+1+1+2	2	0
96	tetragonal	tP	8	1/2,1/2,1/2	1	8	4	1	2	2+2	2	1
96	tetragonal	tP	8	0/1,1/2,1/2	2	4	4	0	4	1+1+1+1	1	0
96	tetragonal	tP	8	1/2,0/1,0/1	2	4	2	1	1	2	2	1
97	tetragonal	tI	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
97	tetragonal	tI	8	0/1,0/1,1/2	1	8	1	0	5	1+1+1+1+2	2	0
97	tetragonal	tI	8	1/2,0/1,1/2	2	4	1	0	4	1+1+1+1	1	0
97	tetragonal	tI	8	1/2,0/1,3/4	2	4	1	0	4	1+1+1+1	1	0
98	tetragonal	tI	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
98	tetragonal	tI	8	0/1,0/1,1/2	1	8	2	0	5	1+1+1+1+2	2	0
98	tetragonal	tI	8	1/2,0/1,1/2	2	4	1	0	4	1+1+1+1	1	0
98	tetragonal	tI	8	1/2,0/1,3/4	2	4	4	1	1	2	2	1
111	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
111	tetragonal	tP	8	0/1,0/1,1/2	1	8	1	0	5	1+1+1+1+2	2	0
111	tetragonal	tP	8	1/2,1/2,0/1	1	8	1	0	5	1+1+1+1+2	2	0
111	tetragonal	tP	8	1/2,1/2,1/2	1	8	1	0	5	1+1+1+1+2	2	0
111	tetragonal	tP	8	0/1,1/2,1/2	2	4	1	0	4	1+1+1+1	1	0
111	tetragonal	tP	8	1/2,0/1,0/1	2	4	1	0	4	1+1+1+1	1	0
112	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
112	tetragonal	tP	8	0/1,0/1,1/2	1	8	2	0	5	1+1+1+1+2	2	0
112	tetragonal	tP	8	1/2,1/2,0/1	1	8	1	0	5	1+1+1+1+2	2	0
112	tetragonal	tP	8	1/2,1/2,1/2	1	8	2	0	5	1+1+1+1+2	2	0
112	tetragonal	tP	8	0/1,1/2,1/2	2	4	2	0	4	1+1+1+1	1	0
112	tetragonal	tP	8	1/2,0/1,0/1	2	4	1	0	4	1+1+1+1	1	0
113	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
113	tetragonal	tP	8	0/1,0/1,1/2	1	8	1	0	5	1+1+1+1+2	2	0
113	tetragonal	tP	8	1/2,1/2,0/1	1	8	2	0	5	1+1+1+1+2	2	0
113	tetragonal	tP	8	1/2,1/2,1/2	1	8	2	0	5	1+1+1+1+2	2	0
113	tetragonal	tP	8	0/1,1/2,1/2	2	4	2	1	1	2	2	1
113	tetragonal	tP	8	1/2,0/1,0/1	2	4	2	1	1	2	2	1
114	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
114	tetragonal	tP	8	0/1,0/1,1/2	1	8	2	0	5	1+1+1+1+2	2	0
114	tetragonal	tP	8	1/2,1/2,0/1	1	8	2	0	5	1+1+1+1+2	2	0
114	tetragonal	tP	8	1/2,1/2,1/2	1	8	1	0	5	1+1+1+1+2	2	0
114	tetragonal	tP	8	0/1,1/2,1/2	2	4	2	1	1	2	2	1
114	tetragonal	tP	8	1/2,0/1,0/1	2	4	2	1	1	2	2	1
115	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
115	tetragonal	tP	8	0/1,0/1,1/2	1	8	1	0	5	1+1+1+1+2	2	0
115	tetragonal	tP	8	1/2,1/2,0/1	1	8	1	0	5	1+1+1+1+2	2	0
115	tetragonal	tP	8	1/2,1/2,1/2	1	8	1	0	5	1+1+1+1+2	2	0
116	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
116	tetragonal	tP	8	0/1,0/1,1/2	1	8	2	0	5	1+1+1+1+2	2	0
116	tetragonal	tP	8	1/2,1/2,0/1	1	8	1	0	5	1+1+1+1+2	2	0
116	tetragonal	tP	8	1/2,1/2,1/2	1	8	2	0	5	1+1+1+1+2	2	0
117	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
117	tetragonal	tP	8	0/1,0/1,1/2	1	8	1	0	5	1+1+1+1+2	2	0
117	tetragonal	tP	8	1/2,1/2,0/1	1	8	2	0	5	1+1+1+1+2	2	0
117	tetragonal	tP	8	1/2,1/2,1/2	1	8	2	0	5	1+1+1+1+2	2	0
118	tetragonal	tP	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
118	tetragonal	tP	8	0/1,0/1,1/2	1	8	2	0	5	1+1+1+1+2	2	0
118	tetragonal	tP	8	1/2,1/2,0/1	1	8	2	0	5	1+1+1+1+2	2	0
118	tetragonal	tP	8	1/2,1/2,1/2	1	8	2	0	5	1+1+1+1+2	2	0
119	tetragonal	tI	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
119	tetragonal	tI	8	0/1,0/1,1/2	1	8	1	0	5	1+1+1+1+2	2	0
119	tetragonal	tI	8	1/2,0/1,1/2	2	4	1	0	4	1+1+1+1	1	0
119	tetragonal	tI	8	1/2,0/1,1/4	2	4	1	0	4	1+1+1+1	1	0
120	tetragonal	tI	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
120	tetragonal	tI	8	0/1,0/1,1/2	1	8	1	0	5	1+1+1+1+2	2	0
120	tetragonal	tI	8	1/2,0/1,1/2	2	4	1	0	4	1+1+1+1	1	0
120	tetragonal	tI	8	1/2,0/1,1/4	2	4	1	0	4	1+1+1+1	1	0
121	tetragonal	tI	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
121	tetragonal	tI	8	0/1,0/1,1/2	1	8	1	0	5	1+1+1+1+2	2	0
121	tetragonal	tI	8	1/2,0/1,1/4	1	8	1	0	5	1+1+1+1+2	2	0
121	tetragonal	tI	8	1/2,0/1,3/4	1	8	1	0	5	1+1+1+1+2	2	0
122	tetragonal	tI	8	0/1,0/1,0/1	1	8	1	0	5	1+1+1+1+2	2	0
122	tetragonal	tI	8	0/1,0/1,1/2	1	8	2	0	5	1+1+1+1+2	2	0
122	tetragonal	tI	8	1/2,0/1,1/4	1	8	4	1	2	2+2	2	1
122	tetragonal	tI	8	1/2,0/1,3/4	1	8	4	1	2	2+2	2	1
123	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
123	tetragonal	tP	16	0/1,0/1,1/2	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
123	tetragonal	tP	16	1/2,1/2,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
123	tetragonal	tP	16	1/2,1/2,1/2	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
123	tetragonal	tP	16	0/1,1/2,0/1	2	8	1	0	8	1+1+1+1+1+1+1+1	1	0
123	tetragonal	tP	16	1/2,0/1,1/2	2	8	1	0	8	1+1+1+1+1+1+1+1	1	0
124	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
124	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
124	tetragonal	tP	16	1/2,1/2,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
124	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
124	tetragonal	tP	16	0/1,1/2,0/1	2	8	1	0	8	1+1+1+1+1+1+1+1	1	0
124	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
125	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
125	tetragonal	tP	16	0/1,0/1,1/2	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
125	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	1	4	2+2+2+2	2	1
125	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
125	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
125	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
126	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
126	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
126	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	1	4	2+2+2+2	2	1
126	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
126	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
126	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
127	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
127	tetragonal	tP	16	0/1,0/1,1/2	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
127	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	0	10	1+1+1+1+1+1+1+1+2+2	2	0
127	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	0	10	1+1+1+1+1+1+1+1+2+2	2	0
127	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
127	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
128	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
128	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
128	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	0	10	1+1+1+1+1+1+1+1+2+2	2	0
128	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
128	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
128	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
129	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
129	tetragonal	tP	16	0/1,0/1,1/2	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
129	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	1	4	2+2+2+2	2	1
129	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
129	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
129	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
130	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
130	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
130	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	1	4	2+2+2+2	2	1
130	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
130	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
130	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
131	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
131	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
131	tetragonal	tP	16	1/2,1/2,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
131	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
131	tetragonal	tP	16	0/1,1/2,0/1	2	8	1	0	8	1+1+1+1+1+1+1+1	1	0
131	tetragonal	tP	16	1/2,0/1,1/2	2	8	1	0	8	1+1+1+1+1+1+1+1	1	0
132	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
132	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
132	tetragonal	tP	16	1/2,1/2,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
132	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
132	tetragonal	tP	16	0/1,1/2,0/1	2	8	1	0	8	1+1+1+1+1+1+1+1	1	0
132	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
133	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
133	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
133	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	1	4	2+2+2+2	2	1
133	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
133	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
133	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
134	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
134	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
134	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	1	4	2+2+2+2	2	1
134	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	0	10	1+1+1+1+1+1+1+1+2+2	2	0
134	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
134	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
135	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
135	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
135	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	0	10	1+1+1+1+1+1+1+1+2+2	2	0
135	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
135	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
135	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
136	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
136	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
136	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	0	10	1+1+1+1+1+1+1+1+2+2	2	0
136	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
136	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
136	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
137	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
137	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
137	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	1	4	2+2+2+2	2	1
137	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	1	4	2+2+2+2	2	1
137	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
137	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
138	tetragonal	tP	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
138	tetragonal	tP	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
138	tetragonal	tP	16	1/2,1/2,0/1	1	16	2	1	4	2+2+2+2	2	1
138	tetragonal	tP	16	1/2,1/2,1/2	1	16	2	0	10	1+1+1+1+1+1+1+1+2+2	2	0
138	tetragonal	tP	16	0/1,1/2,0/1	2	8	2	1	2	2+2	2	1
138	tetragonal	tP	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
139	tetragonal	tI	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
139	tetragonal	tI	16	0/1,0/1,1/2	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
139	tetragonal	tI	16	1/2,0/1,1/2	2	8	1	0	8	1+1+1+1+1+1+1+1	1	0
139	tetragonal	tI	16	1/2,0/1,3/4	2	8	1	0	5	1+1+1+1+2	2	0
139	tetragonal	tI	16	1/2,1/2,1/2	4	4	1	0	4	1+1+1+1	1	0
140	tetragonal	tI	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
140	tetragonal	tI	16	0/1,0/1,1/2	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
140	tetragonal	tI	16	1/2,0/1,1/2	2	8	1	0	8	1+1+1+1+1+1+1+1	1	0
140	tetragonal	tI	16	1/2,0/1,3/4	2	8	2	0	5	1+1+1+1+2	2	0
140	tetragonal	tI	16	1/2,1/2,1/2	4	4	2	1	1	2	2	1
141	tetragonal	tI	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
141	tetragonal	tI	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
141	tetragonal	tI	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
141	tetragonal	tI	16	1/2,0/1,3/4	2	8	4	1	2	2+2	2	1
141	tetragonal	tI	16	1/2,1/2,1/2	4	4	4	0	4	1+1+1+1	1	0
142	tetragonal	tI	16	0/1,0/1,0/1	1	16	1	0	10	1+1+1+1+1+1+1+1+2+2	2	0
142	tetragonal	tI	16	0/1,0/1,1/2	1	16	2	1	4	2+2+2+2	2	1
142	tetragonal	tI	16	1/2,0/1,1/2	2	8	2	1	2	2+2	2	1
142	tetragonal	tI	16	1/2,0/1,3/4	2	8	4	1	2	2+2	2	1
142	tetragonal	tI	16	1/2,1/2,1/2	4	4	4	1	1	2	2	1
147	trigonal	hP	6	0/1,0/1,0/1	1	6	1	0	6	1+1+1+1+1+1	1	0
147	trigonal	hP	6	0/1,0/1,1/2	1	6	1	0	6	1+1+1+1+1+1	1	0
147	trigonal	hP	6	1/2,0/1,1/2	3	2	1	0	2	1+1	1	0
147	trigonal	hP	6	1/2,1/2,0/1	3	2	1	0	2	1+1	1	0
