sg	system	bravais	pg_order	k	star	little_order	m	nontrivial_multiplier	n_smallreps	dims	max_dim	sticking
18	orthorhombic	oP	4	0/1,1/2,0/1	1	4	2	1	1	2	2	1
18	orthorhombic	oP	4	0/1,1/2,1/2	1	4	2	1	1	2	2	1
18	orthorhombic	oP	4	1/2,0/1,0/1	1	4	2	1	1	2	2	1
18	orthorhombic	oP	4	1/2,0/1,1/2	1	4	2	1	1	2	2	1
18	orthorhombic	oP	4	1/2,1/2,0/1	1	4	2	0	4	1+1+1+1	1	0
18	orthorhombic	oP	4	1/2,1/2,1/2	1	4	2	0	4	1+1+1+1	1	0
19	orthorhombic	oP	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
19	orthorhombic	oP	4	0/1,0/1,1/2	1	4	2	1	1	2	2	1
19	orthorhombic	oP	4	0/1,1/2,0/1	1	4	2	1	1	2	2	1
19	orthorhombic	oP	4	0/1,1/2,1/2	1	4	2	0	4	1+1+1+1	1	0
19	orthorhombic	oP	4	1/2,0/1,0/1	1	4	2	1	1	2	2	1
19	orthorhombic	oP	4	1/2,0/1,1/2	1	4	2	0	4	1+1+1+1	1	0
19	orthorhombic	oP	4	1/2,1/2,0/1	1	4	2	0	4	1+1+1+1	1	0
19	orthorhombic	oP	4	1/2,1/2,1/2	1	4	2	1	1	2	2	1
20	orthorhombic	oS	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
20	orthorhombic	oS	4	0/1,0/1,1/2	1	4	2	1	1	2	2	1
20	orthorhombic	oS	4	0/1,1/2,0/1	1	4	1	0	4	1+1+1+1	1	0
20	orthorhombic	oS	4	0/1,1/2,1/2	1	4	2	1	1	2	2	1
21	orthorhombic	oS	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
21	orthorhombic	oS	4	0/1,0/1,1/2	1	4	1	0	4	1+1+1+1	1	0
21	orthorhombic	oS	4	0/1,1/2,0/1	1	4	1	0	4	1+1+1+1	1	0
21	orthorhombic	oS	4	0/1,1/2,1/2	1	4	1	0	4	1+1+1+1	1	0
22	orthorhombic	oF	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
22	orthorhombic	oF	4	0/1,0/1,1/2	1	4	1	0	4	1+1+1+1	1	0
22	orthorhombic	oF	4	0/1,1/2,0/1	1	4	1	0	4	1+1+1+1	1	0
22	orthorhombic	oF	4	0/1,1/2,1/2	1	4	1	0	4	1+1+1+1	1	0
23	orthorhombic	oI	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
23	orthorhombic	oI	4	0/1,0/1,1/2	1	4	1	0	4	1+1+1+1	1	0
23	orthorhombic	oI	4	1/2,0/1,1/4	1	4	1	0	4	1+1+1+1	1	0
23	orthorhombic	oI	4	1/2,0/1,3/4	1	4	1	0	4	1+1+1+1	1	0
24	orthorhombic	oI	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
24	orthorhombic	oI	4	0/1,0/1,1/2	1	4	1	0	4	1+1+1+1	1	0
24	orthorhombic	oI	4	1/2,0/1,1/4	1	4	2	1	1	2	2	1
24	orthorhombic	oI	4	1/2,0/1,3/4	1	4	2	1	1	2	2	1
47	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
47	orthorhombic	oP	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
47	orthorhombic	oP	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
47	orthorhombic	oP	8	0/1,1/2,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
