# Review of Particle Physics, Particle Data Group -- Takahashi et al., Int. J. Mod. Phys. A 41, 2630011 (2026)
# via scikit-hep particle 1.0.1
# source md5  mass_width_2026.txt    e96a23be061430adc72d5b2ea5a93764
# source md5  particle2026.csv       b6f460a16e4cd93a5cc721f3aee1d6c2
# excluded: nuclei (the periodic elements, seated as gravity) and PDG status 4 NotInPDT (fourth generation and diquarks)
# '?' means the quantity is NOT DEFINED or not known -- it is never a value
# rows 572
pdgid	name	family	J2	P	C	I2	G	Q3	anti	quarks	mass_MeV	width_MeV	status	rank
100333	phi(1680)	meson	2	-1	-1	0	-1	0	0	x(uU+dD)+y(sS)	1680	150	0	0
100441	eta(c)(2S)	meson	0	-1	1	0	1	0	0	cC	3637.8	11.6	0	0
100443	psi(2S)	meson	2	-1	-1	0	-1	0	0	cC	3686.097	0.293	0	0
100445	chi(c2)(3930)	meson	4	1	1	0	1	0	0	cC	3922.5	35.2	2	0
100553	Upsilon(2S)	meson	2	-1	-1	0	-1	0	0	bB	10023.4	0.032	0	0
100555	chi(b2)(2P)	meson	4	1	1	0	1	0	0	bB	10268.6	?	0	0
110551	chi(b0)(2P)	meson	0	1	1	0	1	0	0	bB	10232.5	?	0	0
110553	h(b)(2P)	meson	2	1	-1	0	-1	0	0	bB	10259.8	?	0	0
120553	chi(b1)(2P)	meson	2	1	1	0	1	0	0	bB	10255.5	?	0	0
200553	Upsilon(3S)	meson	2	-1	-1	0	-1	0	0	bB	10355.1	0.0203	0	0
200555	chi(b2)(3P)	meson	4	1	1	0	1	0	0	bB	10524	?	0	0
220553	chi(b1)(3P)	meson	2	1	1	0	1	0	0	bB	10513.4	?	0	0
300553	Upsilon(4S)	meson	2	-1	-1	0	-1	0	0	bB	10579.4	20.5	0	0
9000111	a(0)(980)0	meson	0	1	1	2	-1	0	0	Maybe non-qQ	980	75	0	0
9000113	pi(1)(1400)0	meson	2	-1	1	2	-1	0	0	Maybe non-qQ	?	?	0	0
9000115	a(2)(1700)0	meson	4	1	1	2	-1	0	0	(uU-dD)/sqrt(2)	1706	380	2	0
9000211	a(0)(980)+	meson	0	1	?	2	-1	3	2	Maybe non-qQ	980	75	0	0
9000213	pi(1)(1400)+	meson	2	-1	?	2	-1	3	2	Maybe non-qQ	?	?	0	0
9000215	a(2)(1700)+	meson	4	-1	?	2	-1	3	2	uD	1706	380	2	0
9000221	f(0)(500)	meson	0	1	1	0	1	0	0	Maybe non-qQ	600	450	0	0
9000311	K(0)*(700)0	meson	0	1	?	1	?	0	1	dS	838	463	2	0
9000313	K(1)(1650)0	meson	2	1	?	1	?	0	1	dS	1650	150	2	0
9000321	K(0)*(700)+	meson	0	1	?	1	?	3	2	uS	838	463	2	0
9000323	K(1)(1650)+	meson	2	1	?	1	?	3	2	uS	1650	150	2	0
9000325	K(2)(1580)+	meson	4	-1	?	1	?	3	2	uS	?	?	2	0
9000329	K(4)(2500)+	meson	8	-1	?	1	?	3	2	uS	?	?	2	0
9000443	psi(4040)	meson	2	-1	-1	0	-1	0	0	cC	4040	85	0	0
9000553	Upsilon(10860)	meson	2	-1	-1	0	-1	0	0	bB	10885.2	37	0	0
9010111	pi(1800)0	meson	0	-1	1	2	-1	0	0	(uU-dD)/sqrt(2)	1810	215	0	0
9010113	pi(1)(1600)0	meson	2	-1	1	2	-1	0	0	Maybe non-qQ	1645	370	0	0
9010211	pi(1800)+	meson	0	-1	?	2	-1	3	2	uD	1810	215	0	0
9010213	pi(1)(1600)+	meson	2	-1	?	2	-1	3	2	Maybe non-qQ	1645	370	0	0
9010221	f(0)(980)	meson	0	1	1	0	1	0	0	Maybe non-qQ	990	60	0	0
9010225	f(2)(1565)	meson	4	1	1	0	1	0	0	x(uU+dD)+y(sS)	1571	133	2	0
9010315	K(2)*(1980)0	meson	4	1	?	1	?	0	1	dS	1990	348	0	4
9010321	K(1830)+	meson	0	-1	?	1	?	3	2	uS	?	?	2	0
9010325	K(2)*(1980)+	meson	4	1	?	1	?	3	2	uS	1990	348	2	0
9010327	K(3)(2320)+	meson	6	1	?	1	?	3	2	uS	?	?	2	0
9010443	psi(4160)	meson	2	-1	-1	0	-1	0	0	cC	4191	69	0	0
9010553	Upsilon(11020)	meson	2	-1	-1	0	-1	0	0	bB	11000	24	0	0
9020113	a(1)(1640)0	meson	2	1	1	2	-1	0	0	(uU-dD)/sqrt(2)	1655	250	2	0
9020213	a(1)(1640)+	meson	2	1	?	2	-1	3	2	uD	1655	250	2	0
9020221	eta(1405)	meson	0	-1	1	0	1	0	0	x(uU+dD)+y(sS)	1408	49.8	0	0
9020311	K(0)*(1950)0	meson	0	1	?	1	?	0	1	dS	1957	170	2	0
9020321	K(0)*(1950)+	meson	0	1	?	1	?	3	2	uS	1957	170	2	0
9020325	K(2)(2250)+	meson	4	-1	?	1	?	3	2	uS	?	?	2	0
9020443	psi(4415)	meson	2	-1	-1	0	-1	0	0	cC	4415	110	0	0
9030221	f(0)(1500)	meson	0	1	1	0	1	0	0	Maybe non-qQ	1522	108	0	0
9050221	f(0)(2020)	meson	0	1	1	0	1	0	0	x(uU+dD)+y(sS)	1982	440	2	0
9050225	f(2)(1950)	meson	4	1	1	0	1	0	0	x(uU+dD)+y(sS)	1936	464	0	0
9060225	f(2)(2010)	meson	4	1	1	0	1	0	0	x(uU+dD)+y(sS)	2010	200	0	0
9070225	f(2)(2150)	meson	4	1	1	0	1	0	0	x(uU+dD)+y(sS)	2157	152	2	0
9080225	f(2)(2300)	meson	4	1	1	0	1	0	0	x(uU+dD)+y(sS)	2297	150	0	0
9090225	f(2)(2340)	meson	4	1	1	0	1	0	0	x(uU+dD)+y(sS)	2346	331	0	0
-6	t~	quark	1	1	?	0	?	-2	1	T	172600	1420	0	0
-5	b~	quark	1	1	?	0	?	1	1	B	4186	?	0	0
-4	c~	quark	1	1	?	0	?	-2	1	C	1273	?	0	0
-3	s~	quark	1	1	?	0	?	1	1	S	92.9	?	0	0
-2	u~	quark	1	1	?	1	?	-2	1	U	2.16	?	0	0
-1	d~	quark	1	1	?	1	?	1	1	D	4.7	?	0	0
1	d	quark	1	1	?	1	?	-1	1	d	4.7	?	0	0
2	u	quark	1	1	?	1	?	2	1	u	2.16	?	0	0
3	s	quark	1	1	?	0	?	-1	1	s	92.9	?	0	0
4	c	quark	1	1	?	0	?	2	1	c	1273	?	0	0
5	b	quark	1	1	?	0	?	-1	1	b	4186	?	0	0
6	t	quark	1	1	?	0	?	2	1	t	172600	1420	0	0
