sg	system	pg_order	little_group	star	factor_order	n_small_reps	max_dim	dims
47	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
47	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
47	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
47	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
47	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
47	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
47	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
47	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
48	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
48	orthorhombic	8	8	1	2	2	2	2+2
48	orthorhombic	8	8	1	2	2	2	2+2
48	orthorhombic	8	8	1	2	2	2	2+2
48	orthorhombic	8	8	1	2	2	2	2+2
48	orthorhombic	8	8	1	2	2	2	2+2
48	orthorhombic	8	8	1	2	2	2	2+2
48	orthorhombic	8	8	1	2	8	1	1+1+1+1+1+1+1+1
49	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
49	orthorhombic	8	8	1	2	2	2	2+2
49	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
49	orthorhombic	8	8	1	2	2	2	2+2
49	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
49	orthorhombic	8	8	1	2	2	2	2+2
49	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
49	orthorhombic	8	8	1	2	2	2	2+2
50	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
50	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
50	orthorhombic	8	8	1	2	2	2	2+2
50	orthorhombic	8	8	1	2	2	2	2+2
50	orthorhombic	8	8	1	2	2	2	2+2
50	orthorhombic	8	8	1	2	2	2	2+2
50	orthorhombic	8	8	1	2	2	2	2+2
50	orthorhombic	8	8	1	2	2	2	2+2
51	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
51	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
51	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
51	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
51	orthorhombic	8	8	1	2	2	2	2+2
51	orthorhombic	8	8	1	2	2	2	2+2
51	orthorhombic	8	8	1	2	2	2	2+2
51	orthorhombic	8	8	1	2	2	2	2+2
52	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
52	orthorhombic	8	8	1	2	2	2	2+2
52	orthorhombic	8	8	1	2	2	2	2+2
52	orthorhombic	8	8	1	2	2	2	2+2
52	orthorhombic	8	8	1	2	2	2	2+2
52	orthorhombic	8	8	1	2	2	2	2+2
52	orthorhombic	8	8	1	2	2	2	2+2
52	orthorhombic	8	8	1	2	2	2	2+2
53	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
53	orthorhombic	8	8	1	2	2	2	2+2
53	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
53	orthorhombic	8	8	1	2	2	2	2+2
53	orthorhombic	8	8	1	2	2	2	2+2
53	orthorhombic	8	8	1	2	2	2	2+2
53	orthorhombic	8	8	1	2	2	2	2+2
53	orthorhombic	8	8	1	2	2	2	2+2
54	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
54	orthorhombic	8	8	1	2	2	2	2+2
54	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
54	orthorhombic	8	8	1	2	2	2	2+2
54	orthorhombic	8	8	1	2	2	2	2+2
54	orthorhombic	8	8	1	2	2	2	2+2
54	orthorhombic	8	8	1	2	2	2	2+2
54	orthorhombic	8	8	1	2	2	2	2+2
55	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
55	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
55	orthorhombic	8	8	1	2	2	2	2+2
55	orthorhombic	8	8	1	2	2	2	2+2
55	orthorhombic	8	8	1	2	2	2	2+2
55	orthorhombic	8	8	1	2	2	2	2+2
55	orthorhombic	8	8	1	2	8	1	1+1+1+1+1+1+1+1
55	orthorhombic	8	8	1	2	8	1	1+1+1+1+1+1+1+1
56	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
56	orthorhombic	8	8	1	2	2	2	2+2
56	orthorhombic	8	8	1	2	2	2	2+2
56	orthorhombic	8	8	1	2	2	2	2+2
56	orthorhombic	8	8	1	2	2	2	2+2
56	orthorhombic	8	8	1	2	2	2	2+2
56	orthorhombic	8	8	1	2	2	2	2+2
56	orthorhombic	8	8	1	2	8	1	1+1+1+1+1+1+1+1
57	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
57	orthorhombic	8	8	1	2	2	2	2+2
57	orthorhombic	8	8	1	2	2	2	2+2
57	orthorhombic	8	8	1	2	2	2	2+2
57	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
57	orthorhombic	8	8	1	2	2	2	2+2
57	orthorhombic	8	8	1	2	2	2	2+2
57	orthorhombic	8	8	1	2	2	2	2+2
58	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
58	orthorhombic	8	8	1	2	2	2	2+2
58	orthorhombic	8	8	1	2	2	2	2+2
58	orthorhombic	8	8	1	2	2	2	2+2
58	orthorhombic	8	8	1	2	2	2	2+2
58	orthorhombic	8	8	1	2	2	2	2+2
58	orthorhombic	8	8	1	2	8	1	1+1+1+1+1+1+1+1
58	orthorhombic	8	8	1	2	2	2	2+2
59	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
59	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
59	orthorhombic	8	8	1	2	2	2	2+2
59	orthorhombic	8	8	1	2	2	2	2+2
59	orthorhombic	8	8	1	2	2	2	2+2
59	orthorhombic	8	8	1	2	2	2	2+2
59	orthorhombic	8	8	1	2	2	2	2+2
59	orthorhombic	8	8	1	2	2	2	2+2
60	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
60	orthorhombic	8	8	1	2	2	2	2+2
60	orthorhombic	8	8	1	2	2	2	2+2
60	orthorhombic	8	8	1	2	2	2	2+2
60	orthorhombic	8	8	1	2	2	2	2+2
60	orthorhombic	8	8	1	2	2	2	2+2
60	orthorhombic	8	8	1	2	2	2	2+2
60	orthorhombic	8	8	1	2	2	2	2+2
61	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
61	orthorhombic	8	8	1	2	2	2	2+2
61	orthorhombic	8	8	1	2	2	2	2+2
61	orthorhombic	8	8	1	2	2	2	2+2
61	orthorhombic	8	8	1	2	2	2	2+2
61	orthorhombic	8	8	1	2	2	2	2+2
61	orthorhombic	8	8	1	2	2	2	2+2
61	orthorhombic	8	8	1	2	2	2	2+2
62	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
62	orthorhombic	8	8	1	2	2	2	2+2
62	orthorhombic	8	8	1	2	2	2	2+2
62	orthorhombic	8	8	1	2	2	2	2+2
62	orthorhombic	8	8	1	2	2	2	2+2
62	orthorhombic	8	8	1	2	8	1	1+1+1+1+1+1+1+1
62	orthorhombic	8	8	1	2	2	2	2+2
62	orthorhombic	8	8	1	2	2	2	2+2
